n_samples,total,per_proc,max_proc,time
1,61,61,61,0.3369419574737549
2,66,66,66,0.5013120174407959
4,75,75,75,0.9196720123291016
8,93,93,93,1.7995140552520752
16,128,128,128,3.459968090057373
32,199,199,199,6.770115852355957
64,340,340,340,13.654924869537354
128,622,622,622,27.475417852401733
256,1186,1186,1186,54.35139489173889
512,2315,2315,2315,109.14336585998535
1024,4571,4571,4571,216.49868893623352
