n_samples,total,per_proc,max_proc,time
1,43,43,43,1.662628173828125
2,44,44,44,3.091330051422119
4,48,48,48,5.969708681106567
8,47,47,47,11.645941972732544
16,48,48,48,22.97128915786743
32,50,50,50,46.07186722755432
64,51,51,51,91.45499992370605
128,51,51,51,182.64570426940918
256,54,54,54,364.2178637981415
512,56,56,56,732.0633001327515
1024,55,55,55,1484.3051218986511
