n_samples,total,per_proc,max_proc,time
1,63,63,63,1.974424123764038
2,67,67,67,3.8743391036987305
4,76,76,76,7.708271026611328
8,94,94,94,15.07726788520813
16,128,128,128,29.89945697784424
32,200,200,200,61.04666495323181
64,341,341,341,119.62994599342346
128,623,623,623,239.07374596595764
256,1188,1188,1188,477.68639612197876
512,2318,2318,2318,973.6320810317993
1024,4575,4575,4575,1909.9074239730835
