n_samples,total,per_proc,max_proc,time
1,39,39,39,0.40839505195617676
2,43,43,43,0.5957779884338379
4,46,46,46,1.017420768737793
8,52,52,52,1.9453179836273193
16,60,60,60,3.7040770053863525
32,59,59,59,7.3640429973602295
64,63,63,63,14.59994387626648
128,72,72,72,29.414516925811768
256,103,103,103,63.387179136276245
512,80,80,80,118.34129524230957
1024,79,79,79,231.22948217391968
