n_samples,total,per_proc,max_proc,time
32,1093,39.035714285714,41,2.4005279541015625
64,1108,39.571428571429,41,2.5401370525360107
128,1156,41.285714285714,42,2.980215072631836
256,1210,43.21428571428601,45,3.7746407985687256
512,1323,47.25,49,5.39220118522644
1024,1416,50.571428571429,53,8.667547941207886
2048,1530,54.642857142857,56,15.445870161056519
4096,1588,56.71428571428601,58,29.207408905029297
8192,1652,59.0,60,55.02764010429382
16384,1645,58.75,59,106.02717018127441
32768,1654,59.071428571429,61,210.35426306724548
65536,1666,59.5,61,424.54742980003357
