n_samples,total,per_proc,max_proc,time
1,40,40,40,0.4074249267578125
2,40,40,40,0.5041990280151367
4,42,42,42,0.747931957244873
8,42,42,42,1.2868788242340088
16,43,43,43,2.3440990447998047
32,45,45,45,4.515331983566284
64,46,46,46,8.751136064529419
128,46,46,46,17.32871389389038
256,47,47,47,34.66560506820679
512,59,59,59,72.51008772850037
1024,49,49,49,136.89653992652893
