time,max_proc,per_proc,total
0,62,60.142857142857,1684
1,62,60.25,1687
2,73,64.071428571429,1794
3,77,67.857142857143,1900
4,78,69.285714285714,1940
5,80,70.107142857143,1963
6,80,70.428571428571,1972
7,80,70.642857142857,1978
8,81,71,1988
9,81,71.428571428571,2000
10,83,72.071428571429,2018
