n_samples,total,per_proc,max_proc,time
32,1104,39.428571428571,44,2.656738758087158
64,1248,44.571428571429,48,2.791034698486328
128,1420,50.71428571428601,54,3.4368138313293457
256,1695,60.53571428571399,64,5.045324087142944
512,2007,71.67857142857099,75,7.9034507274627686
1024,2269,81.035714285714,84,13.369012117385864
2048,2459,87.82142857142901,92,24.958400011062622
4096,2601,92.892857142857,96,47.30973958969116
8192,2764,98.714285714286,102,92.80764293670654
16384,2893,103.32142857142999,106,189.40173602104187
32768,3103,110.82142857142999,114,364.48415303230286
65536,3234,115.5,119,748.0397319793701
