n_samples,total,per_proc,max_proc,time
32,1293,46.178571428571,50,7.265631198883057
64,1411,50.392857142857,53,8.981886863708496
128,1515,54.107142857143,56,13.423305034637451
256,1601,57.178571428571,59,22.752801656723022
512,1655,59.107142857143,61,40.44862198829651
1024,1689,60.321428571429,62,75.55305099487305
2048,1722,61.5,63,149.04991841316223
4096,1732,61.857142857143,64,291.46246814727783
8192,1752,62.571428571429,65,579.5144860744476
16384,1803,64.392857142857,67,1157.4137609004974
32768,1836,65.57142857142901,70,2307.874494791031
65536,2018,72.07142857142901,83,4665.518991947174
