n_samples,total,per_proc,max_proc,time
32,1294,46.21428571428601,55,7.0831379890441895
64,1542,55.071428571429,61,9.2252779006958
128,1950,69.642857142857,73,13.366302967071533
256,2627,93.82142857142901,100,23.727078914642334
512,3974,141.92857142857,148,42.522327184677124
1024,6465,230.89285714285998,239,79.9634759426117
2048,11387,406.67857142857,419,156.2632818222046
4096,21172,756.14285714286,772,308.54800271987915
8192,40609,1450.3214285714002,1495,613.4210262298584
16384,79606,2843.0714285714002,2931,1223.852017879486
32768,157013,5607.6071428570995,5814,2531.255368232727
65536,204349,7298.1785714286,7331,4920.916742801666
