stat_type,results_results:max,results_results:min,results_results:average
3,0.81214225552149,-1.2826815387055,-0.13129278001167
3.05,0.74510405113714,-1.2992130403224,-0.15362453498744
3.95,0.88223275790949,-1.265523452405,-0.10808990379338
