time,cm3_Albite,cm3_Anhydrite,cm3_Anorthite,cm3_Calcite,cm3_Chalcedony,cm3_Clinochl-7A,cm3_Illite,cm3_K-feldspar,cm3_Kaolinite,cm3_Laumontite,cm3_Paragonite,cm3_Phlogopite,cm3_Quartz,cm3_Zoisite,cm3_mineral,pH,temperature
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,43270.955356524,6.3143748017977e-05,4664.6306480198,0.011614299625512,99.999995645046,99.999415773326,1865.3044276829,29231.75693336,100.00025939,99.998799660088,99.999994290545,1848.5881938177,17515.351145993,99.998500512464,98996.595348112,6.1073453471251,70
2000000,43270.90983552,2.1694866280541e-07,4661.3055352348,0.0086246603315388,99.99999129009,99.998831550062,1865.3047525312,29231.75100684,100.00051878071,99.997599334593,99.99998858109,1848.5879468367,17515.350724322,99.997001047418,98993.212356746,6.1073453471204,70
3000000,43270.864314564,7.4539006268133e-10,4657.9827927072,0.0064045847130572,99.999986935135,99.998247330211,1865.3050773796,29231.745080321,100.00077817209,99.996399023505,99.999982871634,1848.5876998556,17515.350302651,99.995501604856,98989.832568001,6.1073453471299,70
4000000,43270.818793656,2.5610037801544e-12,4654.6624187474,0.0047559792235211,99.99998258018,99.997663113774,1865.305402228,29231.739153803,100.00103756414,99.995198726826,99.999977162179,1848.5874528746,17515.34988098,99.994002184777,98986.455719601,6.1073453471185,70
