time,approx_production_temperature,dt,heat_extracted,mass_extracted,mass_extracted_Al,mass_extracted_Ca,mass_extracted_Cl,mass_extracted_H,mass_extracted_H2O,mass_extracted_HCO3,mass_extracted_K,mass_extracted_Mg,mass_extracted_Na,mass_extracted_SO4,mass_extracted_SiO2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,219.99992178548,500,712809.65850164,0.3613554555179,1.6107490630194e-08,0.00021026466481497,0.0017143821496619,2.9635590573865e-07,0.358400793247,2.1342111476918e-05,8.3310117700787e-05,5.5631168302296e-08,0.00082428577927048,3.4388935867559e-06,9.7270459820403e-05
