time,bulk_Cl,kg_solvent_H2O,molal_Al+++,molal_Ca++,molal_Cl-,molal_H+,molal_HCO3-,molal_K+,molal_Mg++,molal_Na+,molal_SO4--,molal_SiO2aq,temperature,transported_Al+++,transported_Ca++,transported_Cl-,transported_H+,transported_H2O,transported_HCO3-,transported_K+,transported_Mg++,transported_Na+,transported_SO4--,transported_SiO2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0002253530818877,0.99999999549877,4.4715524787497e-12,7.7328020546464e-05,0.00022529863105421,8.0204734722945e-07,0.00012427759434288,2.8097346859027e-05,2.874602030221e-05,0.0001319920398478,1.0385772502298e-05,0.00027284654762868,70,3.7100002313548e-06,7.7600000015797e-05,0.00022535308189086,0.00019012308676321,55.499810573012,0.0003280000057144,2.8100000000159e-05,2.8800000002986e-05,0.00013200000000047,1.0400000000846e-05,0.00027299999999579
