time,cm3_Albite,cm3_Anhydrite,cm3_Anorthite,cm3_Calcite,cm3_Chalcedony,cm3_Clinochl-7A,cm3_Illite,cm3_K-feldspar,cm3_Kaolinite,cm3_Laumontite,cm3_Paragonite,cm3_Phlogopite,cm3_Quartz,cm3_Zoisite,cm3_mineral,kg_solvent_H2O,pH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,43270.999045441,0.018382840431665,4667.9571628133,0.015640924964338,99.999996766225,99.999368829352,1865.3041023774,29231.762851642,99.999999999182,100.00000121564,99.999999992116,1848.5884501482,17515.351583228,100.00200037434,98999.998586592,1.0006384067589,6.1827930179113
200,43270.997226917,0.018383168264859,4667.9561570081,0.015641501752949,99.999993590833,99.998989676449,1865.3041019395,29231.762843459,99.999999998401,100.00000240514,99.999999984084,1848.5884754705,17515.351613708,100.0038951993,98999.997324027,1.0006384125569,6.1803625327975
300,43270.995482059,0.018376445645148,4667.9551436988,0.015641558522769,99.999990469526,99.998770791728,1865.3041015279,29231.762835602,99.99999999763,100.0000036118,99.999999976398,1848.5885068096,17515.351658008,100.00569150803,98999.996202064,1.0006384166992,6.1633863251307
400,43270.993841092,0.018363716368822,4667.9541378761,0.015641021993764,99.999987397804,99.998602619345,1865.3041011492,29231.762828206,99.999999996871,100.00000485829,99.999999969291,1848.5885385096,17515.351714975,100.00741122318,98999.995172611,1.0006384191193,6.1422982612555
