DP,P,S,SumWij,T,h,id,mdot,mu,rho,w_perim,x,y,z
0,39160.881332756,9.8330946698987e-06,0,628.15,803575.92728354,0,0.027395001750338,0.00030134227647172,865.51026802107,0,0,0.00904,0
459.0489133311,38238.941690425,9.8330946698987e-06,2.033732141591e-05,628.14994332976,803575.92747343,0.016,0.027364418390892,0.00030134231083449,865.51028092925,0,0,0.00904,0.016
451.12485478726,37332.712644936,9.8330946698987e-06,3.9120447633724e-05,628.14994332903,803575.92747249,0.032,0.027295285246169,0.00030134231083494,865.51028092941,0,0,0.00904,0.032
443.37597640048,36442.144900744,9.8330946698987e-06,5.4948733408167e-05,628.14994332829,803575.92747155,0.048,0.027192855971967,0.00030134231083538,865.51028092958,0,0,0.00904,0.048
436.860745869,33366.549516427,9.8330946698987e-06,6.5282059963124e-05,628.14994332755,803575.9274706,0.064,0.027066074331864,0.00030134231083583,865.51028092975,0,0,0.00904,0.064
431.8362019342,32500.471545712,9.8330946698987e-06,7.0245045560672e-05,628.14994332682,803575.92746966,0.08,0.0269276666617,0.00030134231083627,865.51028092992,0,0,0.00904,0.08
427.39440019965,36476.964717327,9.8330946698987e-06,7.2985322895485e-05,628.14994332608,803575.92746872,0.096,0.026782944602878,0.00030134231083672,865.51028093008,0,0,0.00904,0.096
427.91958587309,35621.553808078,9.8330946698987e-06,6.1547555039298e-05,628.14994332535,803575.92746778,0.112,0.026653842428108,0.00030134231083717,865.51028093025,0,0,0.00904,0.112
430.3455871204,34762.386342547,9.8330946698987e-06,4.6319971843407e-05,628.14994332461,803575.92746684,0.128,0.026552932495914,0.00030134231083761,865.51028093042,0,0,0.00904,0.128
436.03080971685,33893.68379724,9.8330946698987e-06,2.4006738624982e-05,628.14994332388,803575.9274659,0.144,0.026492620252833,0.00030134231083806,865.51028093059,0,0,0.00904,0.144
447.06161193275,33005.912298711,9.8330946698987e-06,-1.0181440601777e-05,628.14994332315,803575.92746497,0.16,0.02649403324388,0.0003013423108385,865.51028093075,0,0,0.00904,0.16
466.51287409577,32083.897184559,9.8330946698987e-06,-6.277943026019e-05,628.14994332243,803575.92746404,0.176,0.026590525201277,0.00030134231083894,865.51028093092,0,0,0.00904,0.176
498.63860871588,31692.132002592,9.8330946698987e-06,-0.00014188490061716,628.14994332171,803575.92746313,0.192,0.026830846757035,0.00030134231083937,865.51028093108,0,0,0.00904,0.192
2632.2003748676,28579.092207979,9.8330946698987e-06,-2.7276231837647e-05,628.14994332101,803575.92746222,0.208,0.026938351963973,0.0003013423108398,865.51028093124,0,0,0.00904,0.208
450.65356055967,27671.577496203,9.8330946698987e-06,1.4077466423338e-05,628.1499433203,803575.92746132,0.224,0.02692820085107,0.00030134231084023,865.5102809314,0,0,0.00904,0.224
441.24575240319,26784.830123581,9.8330946698987e-06,3.7926411029256e-05,628.1499433196,803575.92746042,0.24,0.026862504403977,0.00030134231084065,865.51028093156,0,0,0.00904,0.24
435.02303630599,25912.028316085,9.8330946698987e-06,4.9760140829171e-05,628.1499433189,803575.92745953,0.256,0.026767632049488,0.00030134231084108,865.51028093172,0,0,0.00904,0.256
431.41487217628,25047.694762599,9.8330946698987e-06,5.2775007177463e-05,628.1499433182,803575.92745863,0.272,0.02666264054467,0.0003013423108415,865.51028093188,0,0,0.00904,0.272
430.00887092445,24350.350032478,9.8330946698987e-06,4.9263056648165e-05,628.1499433175,803575.92745774,0.288,0.026561672813711,0.00030134231084192,865.51028093204,0,0,0.00904,0.288
424.94275110046,23498.063271112,9.8330946698987e-06,5.6539777729095e-05,628.1499433168,803575.92745685,0.304,0.026451713328607,0.00030134231084235,865.5102809322,0,0,0.00904,0.304
421.0720370467,22654.153466912,9.8330946698987e-06,5.9539374239631e-05,628.14994331611,803575.92745595,0.32,0.026333575943585,0.00030134231084277,865.51028093236,0,0,0.00904,0.32
418.76468949962,21815.693382982,9.8330946698987e-06,5.7764271351744e-05,628.14994331541,803575.92745506,0.336,0.0262165204545,0.00030134231084319,865.51028093252,0,0,0.00904,0.336
418.51709341755,20978.830252906,9.8330946698987e-06,5.0404056415487e-05,628.14994331471,803575.92745417,0.352,0.026111268768284,0.00030134231084361,865.51028093267,0,0,0.00904,0.352
421.00759853022,20138.454029178,9.8330946698987e-06,3.6242047027616e-05,628.14994331402,803575.92745328,0.368,0.026030758540086,0.00030134231084404,865.51028093283,0,0,0.00904,0.368
427.46006113998,19655.135621463,9.8330946698987e-06,1.2844960249108e-05,628.14994332637,803575.92746908,0.384,0.025991872328199,0.00030134231083655,865.51028093002,0,0,0.00904,0.384
431.48980317028,18792.159975869,9.8330946698987e-06,-2.4578209249387e-12,628.15174730099,803578.23427378,0.4,0.025991872366273,0.00030134121697693,865.5098700259,0,0,0.00904,0.4
434.33063367817,17924.903327724,9.8330946698987e-06,-1.0068140077516e-12,630.10274265982,806072.97203911,0.416,0.025991919077365,0.00030016409886736,865.06543586023,0,0,0.00904,0.416
434.22091205321,17056.407353527,9.8330946698987e-06,7.0124567665282e-13,632.69063047404,809382.10418716,0.432,0.025992058666997,0.00029862066941803,864.47578868686,0,0,0.00904,0.432
434.11683105548,16188.12235036,9.8330946698987e-06,2.562144803851e-12,635.26529642547,812674.32953924,0.448,0.025992290683643,0.00029710508589726,863.88900727747,0,0,0.00904,0.448
434.01830602743,15320.037166563,9.8330946698987e-06,3.5396158753091e-12,637.82678887092,815949.70992925,0.464,0.02599261467821,0.00029561664067431,863.30508286331,0,0,0.00904,0.464
433.93186676088,14952.640480384,9.8330946698987e-06,5.0622706153999e-12,640.37888450616,819210.84573352,0.48,0.025993030283218,0.00029415252393722,862.72315641587,0,0,0.00904,0.48
433.83958407029,14084.918094343,9.8330946698987e-06,2.4987966326387e-11,642.91614473477,822452.70312761,0.496,0.02599353703577,0.00029271524197294,862.14447008669,0,0,0.00904,0.496
433.75713263435,13217.363260617,9.8330946698987e-06,1.7991668843009e-11,645.44037633621,825677.91384477,0.512,0.025994134513094,0.00029130313774649,861.56861413738,0,0,0.00904,0.512
433.67990378158,12349.96548835,9.8330946698987e-06,1.1089407319783e-11,647.95163652141,828886.5509834,0.528,0.025994822270426,0.00028991558518383,860.99557769122,0,0,0.00904,0.528
433.6099648079,11482.710464964,9.8330946698987e-06,4.6003532478306e-12,650.45177833456,832078.68039974,0.544,0.025995599912134,0.00028855100402084,860.42493991318,0,0,0.00904,0.544
433.54286593765,10615.591811812,9.8330946698987e-06,-1.6291550055952e-12,652.93920286495,835254.37529768,0.56,0.025996467020143,0.00028720973014041,859.85706771645,0,0,0.00904,0.56
433.48987311428,9937.5452898783,9.8330946698987e-06,-7.5932413337423e-12,655.41784500452,838418.85771727,0.576,0.025997423226397,0.00028588914343703,859.29106454911,0,0,0.00904,0.576
433.42339801078,9070.6704693311,9.8330946698987e-06,7.1107483624256e-12,657.8796506281,841561.8449569,0.592,0.025998468050484,0.00028459301299025,858.72877168964,0,0,0.00904,0.592
430.43723871024,8206.8430197047,9.8330946698987e-06,1.6308801184551e-12,659.02359368965,843021.53082926,0.608,0.025999577515238,0.00028399590858924,858.46744188588,0,0,0.00904,0.608
430.46992485604,7345.9194940716,9.8330946698987e-06,-3.5594361603324e-12,658.86547758598,842819.80630419,0.624,0.026000681300656,0.00028407824646458,858.50356468025,0,0,0.00904,0.624
430.50245868241,6484.9308245397,9.8330946698987e-06,-8.9804333190005e-12,658.70812521946,842619.05615498,0.64,0.026001779434329,0.00028416024830484,858.53951244489,0,0,0.00904,0.64
430.5348396806,5623.8773165483,9.8330946698987e-06,-1.4758363749669e-11,658.55154452399,842419.29050371,0.656,0.026002871944677,0.00028424190914273,858.57528337528,0,0,0.00904,0.656
430.57621616243,5167.8656664921,9.8330946698987e-06,-2.0983055893149e-11,658.39976779145,842225.65374833,0.672,0.026003958933464,0.00028432112286891,858.60995632121,0,0,0.00904,0.672
430.59900796462,4306.6836505004,9.8330946698987e-06,-1.4350098940385e-11,658.24470325568,842027.8224136,0.688,0.026005040406448,0.00028440211184319,858.64537983049,0,0,0.00904,0.688
430.63102894511,3445.4376303981,9.8330946698987e-06,-1.2977483112534e-11,658.09045684692,841830.98125647,0.704,0.02600611632339,0.00028448273305497,858.68061591685,0,0,0.00904,0.704
430.66282906366,2584.1278378507,9.8330946698987e-06,-1.0621866188259e-11,657.93704962754,841635.12625948,0.72,0.026007186715557,0.00028456297460263,858.71565977725,0,0,0.00904,0.72
