Dpin,Tpin,id,q_prime,x,y,z
0,628.15,0,0,0,0,0
0,628.14994332976,0.016,0,0,0,0.016
0,628.14994332902,0.032,0,0,0,0.032
0,628.14994332829,0.048,0,0,0,0.048
0,628.14994332755,0.064,0,0,0,0.064
0,628.14994332682,0.08,0,0,0,0.08
0,628.14994332608,0.096,0,0,0,0.096
0,628.14994332535,0.112,0,0,0,0.112
0,628.14994332461,0.128,0,0,0,0.128
0,628.14994332388,0.144,0,0,0,0.144
0,628.14994332315,0.16,0,0,0,0.16
0,628.14994332243,0.176,0,0,0,0.176
0,628.14994332171,0.192,0,0,0,0.192
0,628.14994332101,0.208,0,0,0,0.208
0,628.14994332031,0.224,0,0,0,0.224
0,628.14994331961,0.24,0,0,0,0.24
0,628.14994331891,0.256,0,0,0,0.256
0,628.14994331821,0.272,0,0,0,0.272
0,628.14994331751,0.288,0,0,0,0.288
0,628.14994331682,0.304,0,0,0,0.304
0,628.14994331612,0.32,0,0,0,0.32
0,628.14994331543,0.336,0,0,0,0.336
0,628.14994331473,0.352,0,0,0,0.352
0,628.14994331404,0.368,0,0,0,0.368
0,628.14994332636,0.384,0,0,0,0.384
0,628.15174242913,0.4,6.0145715420407e-13,0,0,0.4
0,631.86415963639,0.416,10834.888862211,0,0,0.416
0,634.4467192469,0.432,10834.888862211,0,0,0.432
0,637.01609709171,0.448,10834.888862211,0,0,0.448
0,639.57235352003,0.464,10834.888862211,0,0,0.464
0,642.1193528745,0.48,10834.888862211,0,0,0.48
0,644.651495669,0.496,10834.888862211,0,0,0.496
0,647.17067500567,0.512,10834.888862211,0,0,0.512
0,649.67694912995,0.528,10834.888862211,0,0,0.528
0,652.17214631569,0.544,10834.888862211,0,0,0.544
0,654.65471402836,0.56,10834.888862211,0,0,0.56
0,657.12876109405,0.576,10834.888862211,0,0,0.576
0,659.58583938929,0.592,10834.888862211,0,0,0.592
0,658.9813145187,0.608,0,0,0,0.608
0,658.82358079246,0.624,0,0,0,0.624
0,658.66664659823,0.64,0,0,0,0.64
0,658.51050525096,0.656,0,0,0,0.656
0,658.35938210986,0.672,0,0,0,0.672
0,658.20477541495,0.688,0,0,0,0.688
0,658.05101627799,0.704,0,0,0,0.704
0,657.89806833144,0.72,0,0,0,0.72
0,657.74588913938,0.736,0,0,0,0.736
0,657.59447408758,0.752,0,0,0,0.752
0,657.36397794105,0.768,0,0,0,0.768
0,628.15,0.784,0,0,0,0.784
0,628.15,0.8,0,0,0,0.8
