cnorm,current_iterate,function_value,gnorm,gradient_iterate,hessian_iterate,objective_iterate,xdiff
0,1,0.0027559190255043,0.0020800280563548,0,0,3,1
0,2,0.00089784067857055,0.0034672376867739,0,0,2,1
0,3,0.00089784067857055,0.0018580783469338,0,0,1,1
0,4,0.00089784067857055,0.00060014784528086,0,0,1,1
0,5,0.00012032946950342,0.0012502070399019,0,0,2,1
0,6,0.00012032946950342,0.00077751120906713,0,0,2,1
0,7,0.00012032946950342,0.00018088323722629,0,0,2,1
0,8,0.00010539609933997,6.1690449462141e-05,0,0,2,1
0,9,2.8944854931607e-05,9.1384614571812e-05,0,0,2,1
0,10,2.8944854931607e-05,7.6451244408368e-05,0,0,2,1
0,11,5.7147045142231e-06,5.3978230616923e-05,0,0,2,1
0,12,5.7147045142231e-06,2.3230150417384e-05,0,0,2,1
0,13,5.7147045142231e-06,1.5221607202598e-05,0,0,1,1
0,14,5.7147045142231e-06,1.3244963526617e-05,0,0,2,1
0,15,5.7147045142231e-06,4.1115087138692e-06,0,0,2,1
