cnorm,current_iterate,function_value,gnorm,gradient_iterate,hessian_iterate,objective_iterate,xdiff
0,0,0.0027559190255043,0.0020980201625854,0,0,5,1
0,1,0.0011436194086151,0.0012646984507389,0,0,25,341
0,2,0.00066401427375986,0.002609319456353,0,0,5,1
0,3,0.00030817664707322,0.0014179698042894,0,0,5,1
0,4,2.0142789211171e-05,0.00036418217816026,0,0,5,1
0,5,5.7454708065525e-06,7.8329160282155e-05,0,0,5,1
0,6,4.8895578321809e-06,5.5213436174544e-06,0,0,5,1
