time,p0_0,p0_100,p100_0,p100_100,uz0,uz100
-3600,0,0,0,0,0,0
0,0,1000036.1983017,0,1000079.5221846,7.7168794733936e-09,1.1151804107827e-08
3600,1294.0952255126,1000974.9150613,1294.0952255126,1000599.6503814,-4.9756129649384e-06,-5.0035246605355e-06
7200,2500,1001889.7796692,2500,1001103.0053581,-9.3120966875828e-06,-9.3893153294793e-06
10800,3535.5339059327,1002708.4567769,3535.5339059327,1001579.6766443,-1.2782325189251e-05,-1.2914182429768e-05
14400,4330.1270189222,1003373.9744493,4330.1270189222,1002010.2427934,-1.5191443082168e-05,-1.5373036635602e-05
18000,4829.6291314453,1003839.8331255,4829.6291314453,1002370.7761809,-1.6403174517816e-05,-1.6621807967591e-05
21600,5000,1004072.5872166,5000,1002637.3297974,-1.6355681850843e-05,-1.6593320921979e-05
25200,4829.6291314453,1004054.388889,4829.6291314453,1002789.6967295,-1.5068604850088e-05,-1.5304249047901e-05
28800,4330.1270189222,1003784.450796,4330.1270189222,1002814.1466297,-1.2643163856526e-05,-1.2855059102664e-05
32400,3535.5339059327,1003279.2366848,3535.5339059327,1002705.1517772,-9.2560782825843e-06,-9.4237111599643e-06
36000,2500,1002571.3983253,2500,1002466.1955177,-5.1480213729972e-06,-5.253838178755e-06
39600,1294.0952255126,1001707.5666077,1294.0952255126,1002109.7575497,-6.0754171945451e-07,-6.3833644632788e-07
43200,6.1232339957368e-13,1000745.169709,6.1232339957368e-13,1001656.5691356,4.0483789299542e-06,4.1004579182158e-06
46800,-1294.0952255126,999748.50710216,-1294.0952255126,1001134.2422044,8.4957665192656e-06,8.6326290067798e-06
50400,-2500,998784.35276094,-2500,1000575.3956278,1.2425610432826e-05,1.2643075487407e-05
54000,-3535.5339059327,997917.38979541,-3535.5339059327,1000015.4228767,1.5564824787709e-05,1.5852907150531e-05
57600,-4330.1270189222,997205.78866597,-4330.1270189222,999490.06224856,1.7694778963254e-05,1.803838250922e-05
61200,-4829.6291314453,996697.23062323,-4829.6291314453,999032.94016816,1.8666129745365e-05,1.9046095292598e-05
64800,-5000,996425.64736715,-5000,998673.25762276,1.8408941237288e-05,1.8803373934586e-05
68400,-4829.6291314453,996408.89899584,-4829.6291314453,998433.7787636,1.6937400868064e-05,1.7323184675096e-05
72000,-4330.1270189222,996647.54833964,-4330.1270189222,998329.25942326,1.4348808713873e-05,1.4703203593332e-05
75600,-3535.5339059327,997124.81506397,-3535.5339059327,998365.42292973,1.0816908004062e-05,1.1119120336314e-05
79200,-2500,997807.71254148,-2500,998538.55309664,6.5800105729424e-06,6.8126294564933e-06
82800,-1294.0952255126,998649.28990704,-1294.0952255126,998835.73209509,1.9247258887153e-06,2.0749273276846e-06
86400,-1.2246467991474e-12,999591.82641046,-1.2246467991474e-12,999235.70691166,-2.8335979741931e-06,-2.7731610660589e-06
90000,1294.0952255126,1000570.7602972,1294.0952255126,999710.32523474,-7.3723889113026e-06,-7.4030714761831e-06
93600,2500,1001519.0844029,2500,1000226.4427954,-1.1383855063376e-05,-1.1500914455107e-05
97200,3535.5339059327,1002371.9088503,3535.5339059327,1000748.1720649,-1.4595979533046e-05,-1.4788886936028e-05
100800,4330.1270189222,1003070.8798575,4330.1270189222,1001239.318948,-1.6791075041806e-05,-1.7044222416256e-05
104400,4829.6291314453,1003568.153479,4829.6291314453,1001665.8413125,-1.7820634281796e-05,-1.8114388547033e-05
108000,5000,1003829.6534365,5000,1001998.1617135,-1.7615464133769e-05,-1.7927496641158e-05
111600,4829.6291314453,1003837.3909887,4829.6291314453,1002213.1766165,-1.6190413298102e-05,-1.6497213893469e-05
115200,4330.1270189222,1003590.6887151,4330.1270189222,1002295.825114,-1.3643371312892e-05,-1.3921843717084e-05
118800,3535.5339059327,1003106.224787,3535.5339059327,1002240.1101607,-1.0148607314221e-05,-1.0377637016456e-05
122400,2500,1002416.894685,2500,1002049.502665,-5.9449026156748e-06,-6.1067903556116e-06
126000,1294.0952255126,1001569.5679142,1294.0952255126,1001736.7008436,-1.3192859605025e-06,-1.4009490431434e-06
129600,1.836970198721e-12,1000621.8925726,1.836970198721e-12,1001322.7611858,3.4125200356724e-06,3.4186605226317e-06
133200,-1294.0952255126,999638.36552002,-1294.0952255126,1000835.6602056,7.9276086255882e-06,8.023115206245e-06
136800,-2500,998685.93594389,-2500,1000308.3849527,1.1917888916543e-05,1.2098204716016e-05
140400,-3535.5339059327,997829.44191732,-3535.5339059327,999776.68237685,1.5111076775569e-05,1.5365839168857e-05
144000,-4330.1270189222,997127.19092882,-4330.1270189222,999276.62088703,1.7289246090048e-05,1.7602995672143e-05
147600,-4829.6291314453,996626.98555205,-4829.6291314453,998842.13025301,1.830367609249e-05,1.865691269213e-05
151200,-5000,996362.86508997,-5000,998502.68747403,1.8084982877016e-05,1.8455496678593e-05
154800,-4829.6291314453,996352.78523655,-4829.6291314453,998281.30629526,1.6647844619016e-05,1.7012231706529e-05
158400,-4330.1270189222,996597.39387516,-4330.1270189222,998192.96736237,1.4089998439279e-05,1.4425257506164e-05
162000,-3535.5339059327,997079.98643406,-3535.5339059327,998243.59597704,1.0585577240224e-05,1.0870678673783e-05
165600,-2500,997767.64383539,-2500,998429.65710181,6.3732405662889e-06,6.5905609962358e-06
169200,-1294.0952255126,998613.47548258,-1294.0952255126,998738.39519801,1.7399083197957e-06,1.8764328876996e-06
172800,-2.4492935982947e-12,999559.81442551,-2.4492935982947e-12,999148.70253899,-2.9987941691145e-06,-2.9505837387946e-06
