time,TTC-31,mass_flow_PP,mass_flux_PP,post_func,report_pressure_outlet
-1,624.7,0,2867.771168248,494882.14285715,200000
-0.9,745.61124450197,2.45,2867.771168248,494882.14285715,200000
-0.79,800.51667536782,2.45,2867.771168248,494882.14285715,200000
-0.669,816.38613137469,2.45,2867.771168248,494882.14285715,200000
-0.5359,819.51699631226,2.45,2867.771168248,494882.14285715,200000
-0.38949,819.96091677401,2.45,2867.771168248,494882.14285715,200000
-0.228439,820.00719198854,2.45,2867.771168248,494882.14285715,200000
-0.0512829,820.01016897407,2.45,2867.771168248,494882.14285715,200000
0.14358881,802.31171481351,2.4232654076628,2836.4778241258,437912.95838028,200000
0.357947691,772.41735474248,2.3833542384192,2789.7610484328,352865.58849162,200000
0.5937424601,737.21137638085,2.3394519522512,2738.3725951704,259313.48161409,200000
0.85311670611,697.09991347894,2.2911594374664,2681.8452965819,156406.16404881,200000
1.138428376721,669.95938696114,2.2380376712032,2619.6652681345,96276.440268611,200000
1.4522712143931,664.8398839383,2.1796037283136,2551.2672368424,92074.335379018,200000
1.7974983358324,663.40279867883,2.1153263911351,2476.029402421,87452.020000468,200000
2.1772481694157,662.58236364005,2.0446213202388,2393.2677845575,83281.031913648,200000
2.5949729863572,662.18821040646,1.9668457422528,2302.2300049077,79841.035304821,200000
3.0544702849929,661.79406019107,1.8812926064681,2202.0884472929,76057.039035111,200000
3.5599173134922,661.40673574524,1.7871841571051,2091.9327339166,72046.465830191,200000
4.1159090448415,661.53713032066,1.6836648628057,1970.7614492026,68876.64119217,200000
4.7274999493256,661.7681508907,1.5697936390764,1837.4730360173,65389.834090344,200000
5.4002499442582,662.38201340339,1.4445352929741,1690.8557815135,62314.982441675,200000
6.140274938684,663.67908483403,1.3067511122617,1529.5768015592,59502.291509748,200000
6.9543024325524,665.43253329163,1.155188513478,1352.1699236096,56408.33148463,200000
7.8497326758076,668.08885348944,0.99490467587535,1164.5546712777,53452.092104306,200000
8.8347059433884,672.36430588769,0.90273080475791,1056.6634181935,50967.642104874,200000
9.9181765377272,674.54369072268,0.79683658324301,932.71223642024,48234.747105496,200000
11.1099941915,678.34547481381,0.72748618532787,851.53628880899,46225.750555423,200000
12.42099361065,680.73908091476,0.68338394029061,799.9137799221,44096.713068594,200000
13.863092971715,681.24993496917,0.63487147074962,743.12902014653,41754.771833086,200000
15.449402268886,682.00774180096,0.58150775425453,680.6657843934,39484.022353801,200000
17.194342495775,684.20195091595,0.52280766610994,611.95622506495,37836.026498448,200000
19.113776745353,687.23764658418,0.46592689251664,545.37620770229,36023.23105756,200000
21.225154419888,690.48759743084,0.41184383904427,482.07097446194,34029.156072583,200000
23.547669861877,694.47176758217,0.35235248022467,412.43521789755,32197.672687101,200000
26.102436848064,701.1186579044,0.30123499702309,352.6012405429,30667.585058072,200000
28.912680532871,708.09173906118,0.25049179375451,293.20536490282,28984.488666144,200000
32.003948586158,717.83819336676,0.20379826140615,238.54970538761,27485.062657931,200000
35.404343444774,730.67878399344,0.16018270808506,187.4968783258,26045.772394695,200000
39.144777789251,747.72324570733,0.11220559943186,131.33876855782,24462.553105136,200000
43.259255568176,781.22777215106,0.073604729503117,86.155722904381,23115.168966861,200000
47.785181124994,835.08133766565,0.060301077082823,70.583547049968,21746.815056323,200000
52.763699237493,872.63687628077,0.056125673042378,65.69615793855,20480.359553074,200000
58.240069161242,885.07250366789,0.053407474356463,62.514455154454,19297.710970975,200000
64.264076077367,887.11183362548,0.054177350937829,63.415610200637,18352.858627372,200000
70.890483685103,875.46190865724,0.055024215177331,64.406880751439,17475.175574923,200000
78.179532053614,858.9066600547,0.055955765840784,65.497278357322,16509.724217228,200000
86.197485258975,840.50920150867,0.056980471570581,66.696715723792,15447.727723763,200000
95.017233784872,824.37914650215,0.058107647873359,68.01609682691,14597.357094648,200000
104.71895716336,810.94097355841,0.058170784466535,68.08999939898,13926.914097906,200000
115.3908528797,800.29749353427,0.057746874784018,67.593805127362,13189.426801489,200000
127.12993816767,792.88058869808,0.057280574133249,67.047991428581,12593.755089252,200000
140.04293198443,787.0532889839,0.057732840075253,67.57737723628,12091.802864697,200000
154.24722518287,778.80592580083,0.058491977534705,68.465961937894,11539.655417685,200000
169.87194770116,769.00439849196,0.059327028740103,69.443405109669,10932.293225971,200000
187.05914247128,760.16485451478,0.06024558506604,70.518592598622,10416.640423919,200000
205.96505671841,753.756307878,0.061255997024571,71.701298836471,10090.014568807,200000
225.96505671841,747.42471423015,0.06229168489983,72.913591011152,9744.486866899,200000
245.96505671841,741.59329114181,0.06279848359705,73.506808436456,9433.3106547863,200000
265.96505671841,737.69694095309,0.063305282294271,74.10002586176,9202.9586885544,200000
285.96505671841,734.01816995157,0.063694615615472,74.555747850894,8972.6067223224,200000
305.96505671841,730.77083258633,0.06398855885986,74.89981395757,8759.4305747874,200000
325.96505671841,728.17171793533,0.064282502104247,75.243880064247,8586.6667238335,200000
345.96505671841,725.64696573807,0.064576445348635,75.587946170923,8413.90287288,200000
365.96505671841,723.3332692324,0.064740115875132,75.779525606425,8258.3147914239,200000
385.96505671841,721.66783253214,0.06446540256262,75.457968497382,8143.1388907879,200000
405.96505671841,720.62943146464,0.064190689250108,75.136411388339,8027.9629901518,200000
425.96505671841,719.63370802726,0.063915975937596,74.814854279295,7912.7870895166,200000
445.96505671841,718.63086031414,0.063641262625084,74.493297170252,7797.6111888805,200000
465.96505671841,717.61899256836,0.063532401524778,74.365873200945,7682.4352882452,200000
485.96505671841,716.3891819232,0.063532401524778,74.365873200945,7567.2593876092,200000
