frac_P,frac_T,id,x,y,z
2.0498573056701,79.52072765307,0,0,0,0
2.048859378356,63.09975953705,1,1,0,0
2.0478614984062,49.535974126535,2,2,0,0
2.0468636653211,43.936568299267,3,3,0,0
2.0458658781029,41.625099323451,4,4,0,0
2.0448681357541,40.670942772544,5,5,0,0
2.0438704372769,40.277087131881,6,6,0,0
2.0428727816738,40.11451692672,7,7,0,0
2.0418751679473,40.047415420586,8,8,0,0
2.0408775950999,40.019719682319,9,9,0,0
2.0398800621342,40.00828860328,10,10,0,0
2.0388825680527,40.003570527309,11,11,0,0
2.037885111858,40.001623063679,12,12,0,0
2.0368876925529,40.000819063022,13,13,0,0
2.03589030914,40.000486969295,14,14,0,0
2.034892960622,40.000349626373,15,15,0,0
2.0338956460016,40.000292653119,16,16,0,0
2.0328983642818,40.000268846236,17,17,0,0
2.0319011144652,40.000258726191,18,18,0,0
2.0309038955547,40.000254254512,19,19,0,0
2.0299067065533,40.000252114109,20,20,0,0
2.0289095464638,40.000250936213,21,21,0,0
2.027912414289,40.000250156026,22,22,0,0
2.0269153090321,40.000249540499,23,23,0,0
2.0259182296959,40.000248993474,24,24,0,0
2.0249211752835,40.000248475273,25,25,0,0
2.0239241447978,40.000247969527,26,26,0,0
2.022927137242,40.000247469482,27,27,0,0
2.021930151619,40.00024697235,28,28,0,0
2.020933186932,40.000246476981,29,29,0,0
2.019936242184,40.0002459829,30,30,0,0
2.0189393163782,40.000245489911,31,31,0,0
2.0179424085177,40.000244997933,32,32,0,0
2.0169455176056,40.000244506931,33,33,0,0
2.0159486426451,40.000244016892,34,34,0,0
2.0149517826394,40.000243527809,35,35,0,0
2.0139549365917,40.00024303968,36,36,0,0
2.0129581035051,40.000242552502,37,37,0,0
2.0119612823828,40.000242066276,38,38,0,0
2.0109644722281,40.000241581,39,39,0,0
2.0099676720443,40.000241096675,40,40,0,0
2.0089708808344,40.000240613296,41,41,0,0
2.0079740976018,40.000240130871,42,42,0,0
2.0069773213497,40.000239649383,43,43,0,0
2.0059805510813,40.000239168871,44,44,0,0
2.0049837857999,40.000238689237,45,45,0,0
2.0039870245088,40.000238210716,46,46,0,0
2.0029902662111,40.000237732739,47,47,0,0
2.0019935099102,40.000237256683,48,48,0,0
2.0009967546092,40.000236777049,49,49,0,0
1.9999999993115,40.000236314899,50,50,0,0
1.9990032430204,40.000235839606,51,51,0,0
1.9980064847389,40.000235363435,52,52,0,0
1.9970097234704,40.000234888386,53,53,0,0
1.9960129582181,40.000234415901,54,54,0,0
1.9950161879852,40.000233945245,55,55,0,0
1.9940194117749,40.000233475915,56,56,0,0
1.9930226285905,40.000233007656,57,57,0,0
1.992025837435,40.000232540365,58,58,0,0
1.9910290373118,40.00023207401,59,59,0,0
1.990032227224,40.000231608587,60,60,0,0
1.9890354061746,40.000231144097,61,61,0,0
1.988038573167,40.000230680543,62,62,0,0
1.9870417272042,40.000230217927,63,63,0,0
1.9860448672893,40.000229756249,64,64,0,0
1.9850479924254,40.000229295508,65,65,0,0
1.9840511016157,40.000228835706,66,66,0,0
1.9830541938631,40.00022837684,67,67,0,0
1.9820572681707,40.000227918912,68,68,0,0
1.9810603235415,40.000227461919,69,69,0,0
1.9800633589786,40.000227005863,70,70,0,0
1.9790663734849,40.000226550742,71,71,0,0
1.9780693660633,40.000226096557,72,72,0,0
1.9770723357168,40.000225643306,73,73,0,0
1.9760752814483,40.00022519099,74,74,0,0
1.9750782022606,40.000224739607,75,75,0,0
1.9740810971567,40.000224289158,76,76,0,0
1.9730839651393,40.000223839643,77,77,0,0
1.9720868052111,40.00022339106,78,78,0,0
1.971089616375,40.00022294341,79,79,0,0
1.9700923976337,40.000222496692,80,80,0,0
1.9690951479899,40.000222050906,81,81,0,0
1.9680978664462,40.000221606051,82,82,0,0
1.9671005520053,40.000221162127,83,83,0,0
1.9661032036697,40.000220719134,84,84,0,0
1.965105820442,40.000220277071,85,85,0,0
1.9641084013247,40.000219835938,86,86,0,0
1.9631109453203,40.000219395735,87,87,0,0
1.9621134514312,40.000218956462,88,88,0,0
1.9611159186598,40.000218518117,89,89,0,0
1.9601183460085,40.000218080701,90,90,0,0
1.9591207324795,40.000217644213,91,91,0,0
1.9581230770751,40.000217208654,92,92,0,0
1.9571253787976,40.000216774022,93,93,0,0
1.9561276366491,40.000216340317,94,94,0,0
1.9551298496317,40.00021590754,95,95,0,0
1.9541320167475,40.000215475689,96,96,0,0
1.9531341369986,40.000215044765,97,97,0,0
1.9521362093869,40.000214614767,98,98,0,0
1.9511382329144,40.000214185694,99,99,0,0
1.9501402065829,40.000213761234,100,100,0,0
