time,Re,drag_coeff,lift_coeff,point_vel_x,point_vel_y
0,0,0,0,0,0
0.001,100,346.49591913544,-0.561186024314,0.99772429919124,-4.2468573510915e-07
0.002,100,-140.32462375521,0.16792734550018,0.9940412651413,-3.4805203700013e-07
