measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values
0.1,0,0.25,0.25,0,0.034262827308394,0.034262827308394
0.1,0,0.25,0.75,0,0.049456148291026,0.049456148291026
0.1,0,0.75,0.25,0,0.049456148291978,0.049456148291978
0.1,0,0.75,0.75,0,0.076318645724807,0.076318645724807
0.1,0,0.625,0.625,0,0.071320496264782,0.071320496264782
0.1,0,0.625,0.75,0,0.073764693098515,0.073764693098515
0.1,0,0.625,0.875,0,0.074956733596763,0.074956733596763
0.1,0,0.75,0.625,0,0.073764693098814,0.073764693098814
0.1,0,0.75,0.875,0,0.077545153145144,0.077545153145144
0.1,0,0.875,0.625,0,0.074956733597537,0.074956733597537
0.1,0,0.875,0.75,0,0.077545153145651,0.077545153145651
0.1,0,0.875,0.875,0,0.078766276796475,0.078766276796475
0.1,0,1,0.5,0,0.070628216525278,0.070628216525278
0.1,0,1,0.75,0,0.077883618457735,0.077883618457735
0.1,0,1,1,0,0.079406448856429,0.079406448856429
0.1,0,0.5,1,0,0.070628216523933,0.070628216523933
0.1,0,0.75,1,0,0.077883618457072,0.077883618457072
0.2,0,0.25,0.25,0,0.048519474641975,0.048519474641975
0.2,0,0.25,0.75,0,0.076256664280656,0.076256664280656
0.2,0,0.75,0.25,0,0.076256664280913,0.076256664280913
0.2,0,0.75,0.75,0,0.12757832420772,0.12757832420772
0.2,0,0.625,0.625,0,0.11654638176579,0.11654638176579
0.2,0,0.625,0.75,0,0.12191507478037,0.12191507478037
0.2,0,0.625,0.875,0,0.12470017134644,0.12470017134644
0.2,0,0.75,0.625,0,0.12191507478049,0.12191507478049
0.2,0,0.75,0.875,0,0.13048576516619,0.13048576516619
0.2,0,0.875,0.625,0,0.12470017134668,0.12470017134668
0.2,0,0.875,0.75,0,0.13048576516631,0.13048576516631
0.2,0,0.875,0.875,0,0.13342121887685,0.13342121887685
0.2,0,1,0.5,0,0.11579418171616,0.11579418171616
0.2,0,1,0.75,0,0.13133947654607,0.13133947654607
0.2,0,1,1,0,0.13509512459674,0.13509512459674
0.2,0,0.5,1,0,0.11579418171578,0.11579418171578
0.2,0,0.75,1,0,0.1313394765459,0.1313394765459
0.3,0,0.25,0.25,0,0.055938079228696,0.055938079228696
0.3,0,0.25,0.75,0,0.09193256860362,0.09193256860362
0.3,0,0.75,0.25,0,0.091932568603683,0.091932568603683
0.3,0,0.75,0.75,0,0.16004297351501,0.16004297351501
0.3,0,0.625,0.625,0,0.1443407623123,0.1443407623123
0.3,0,0.625,0.75,0,0.15196491673995,0.15196491673995
0.3,0,0.625,0.875,0,0.15604156352682,0.15604156352682
0.3,0,0.75,0.625,0,0.15196491674,0.15196491674
0.3,0,0.75,0.875,0,0.16432466101082,0.16432466101082
0.3,0,0.875,0.625,0,0.15604156352691,0.15604156352691
0.3,0,0.875,0.75,0,0.16432466101087,0.16432466101087
0.3,0,0.875,0.875,0,0.16867258321146,0.16867258321146
0.3,0,1,0.5,0,0.14381571097073,0.14381571097073
0.3,0,1,0.75,0,0.16561525237246,0.16561525237246
0.3,0,1,1,0,0.1712363296852,0.1712363296852
0.3,0,0.5,1,0,0.14381571097061,0.14381571097061
0.3,0,0.75,1,0,0.1656152523724,0.1656152523724
0.4,0,0.25,0.25,0,0.060217759331029,0.060217759331029
0.4,0,0.25,0.75,0,0.10136867157689,0.10136867157689
0.4,0,0.75,0.25,0,0.10136867157691,0.10136867157691
0.4,0,0.75,0.75,0,0.18009489591454,0.18009489591454
0.4,0,0.625,0.625,0,0.16129632245313,0.16129632245313
0.4,0,0.625,0.75,0,0.17041409490759,0.17041409490759
0.4,0,0.625,0.875,0,0.17536484708872,0.17536484708872
0.4,0,0.75,0.625,0,0.17041409490761,0.17041409490761
0.4,0,0.75,0.875,0,0.18530901626271,0.18530901626271
0.4,0,0.875,0.625,0,0.17536484708874,0.17536484708874
0.4,0,0.875,0.75,0,0.18530901626272,0.18530901626272
0.4,0,0.875,0.875,0,0.19061782225984,0.19061782225984
0.4,0,1,0.5,0,0.16100145556252,0.16100145556252
0.4,0,1,0.75,0,0.18690047494631,0.18690047494631
0.4,0,1,1,0,0.19379743789576,0.19379743789576
0.4,0,0.5,1,0,0.16100145556249,0.16100145556249
0.4,0,0.75,1,0,0.18690047494629,0.18690047494629
0.5,0,0.25,0.25,0,0.062780712009847,0.062780712009847
0.5,0,0.25,0.75,0,0.10709807953019,0.10709807953019
0.5,0,0.75,0.25,0,0.10709807953019,0.10709807953019
0.5,0,0.75,0.75,0,0.19234790451441,0.19234790451441
0.5,0,0.625,0.625,0,0.17161435918879,0.17161435918879
0.5,0,0.625,0.75,0,0.18166541041509,0.18166541041509
0.5,0,0.625,0.875,0,0.18716704508603,0.18716704508603
0.5,0,0.75,0.625,0,0.1816654104151,0.1816654104151
0.5,0,0.75,0.875,0,0.19814983688102,0.19814983688102
0.5,0,0.875,0.625,0,0.18716704508604,0.18716704508604
0.5,0,0.875,0.75,0,0.19814983688102,0.19814983688102
0.5,0,0.875,0.875,0,0.20406478107901,0.20406478107901
0.5,0,1,0.5,0,0.17148386333673,0.17148386333673
0.5,0,1,0.75,0,0.19993208260792,0.19993208260792
0.5,0,1,1,0,0.20763551109643,0.20763551109643
0.5,0,0.5,1,0,0.17148386333672,0.17148386333672
0.5,0,0.75,1,0,0.19993208260792,0.19993208260792
0.6,0,0.25,0.25,0,0.064333845415273,0.064333845415273
0.6,0,0.25,0.75,0,0.11058256259653,0.11058256259653
0.6,0,0.75,0.25,0,0.1105825626038,0.1105825626038
0.6,0,0.75,0.75,0,0.19980025448001,0.19980025448001
0.6,0,0.625,0.625,0,0.17788412850751,0.17788412850751
0.6,0,0.625,0.75,0,0.18850569732605,0.18850569732605
0.6,0,0.625,0.875,0,0.1943450677066,0.1943450677066
0.6,0,0.75,0.625,0,0.18850569732568,0.18850569732568
0.6,0,0.75,0.875,0,0.20596240392911,0.20596240392911
0.6,0,0.875,0.625,0,0.1943450677073,0.1943450677073
