time,disp_z,resid_z,stress_zz
0,0,0,0
0.004,-0.004,-0.14288192357179,0
0.008,-0.008,-0.28576384736162,0
0.012,-0.012,-0.42864577138932,0
0.016,-0.016,-0.18842138047752,-7.3768077581335e-05
0.02,-0.02,-238.64389062062,-0.047499012125933
0.024,-0.024,-615.0601713623,-0.12238487983472
0.028,-0.028,-970.78025988929,-0.19315030101606
0.032,-0.043184137906674,-2529.4335821804,-0.50314560409787
0.036,-0.046740717259911,-2851.2143979913,-0.56712223193603
0.04,-0.048767054699746,-3174.2399915761,-0.63136258895688
