time,core_T_out,core_delta_p,core_p_in,core_p_out,power_to_coolant,total_power:power
0,0,0,0,0,0,2000
10,300.77474348765,0.49118260655086,1000000.5012195,1000000.0100368,43.341196111787,2000
30,302.3442385506,0.36620466108434,1000000.3730426,1000000.006838,126.26278642311,2000
70,305.2310385274,0.37970659905113,1000000.3858906,1000000.006184,278.62017737012,2000
150,310.1360997696,0.40256023511756,1000000.407777,1000000.0052167,537.5124407952,2000
310,317.38050262427,0.4361351209227,1000000.4402089,1000000.0040738,919.9229086944,2000
630,325.86156881973,0.47516945062671,1000000.4783076,1000000.0031382,1367.6976676507,2000
1270,332.8798320668,0.50723283283878,1000000.5099538,1000000.0027209,1738.3367454483,2000
2550,336.54089382196,0.5238303616643,1000000.5265162,1000000.0026858,1931.7396265263,2000
5000,337.6315415404,0.52873842383269,1000000.5314646,1000000.0027262,1989.3740245664,2000
