time,Hw_hx_pri,core_T_out,core_delta_p,core_p_in,core_p_out,fD_hx_pri,hx_pri_T_out,hx_sec_T_in,hx_sec_T_out,m_dot_pump,m_dot_sec,power_to_coolant,total_power:power
0,0,0,0,0,0,0,0,0,0,0,0,0,2000
1,9.4169781311137,300.01178671123,0.15078347409144,1000000.3156484,1000000.1648649,1.0055475000063,299.99997264359,299.84608229918,299.84504925934,0.00098808550638073,0.10000013016044,0.70953003555441,2000
3,34.743088611735,300.1735222537,0.292637186707,1000000.8020564,1000000.5094192,1.0026860944338,300.00011682499,299.85215920213,299.84505088867,0.004214531748916,0.29999996668161,6.6744943877742,2000
7,61.75129580516,300.57317479983,0.30809280811809,1000001.3830928,1000001.0749999,1.0019514432102,300.05881451967,299.87782760691,299.84505742954,0.0079862866961581,0.6999999925295,25.640900997629,2000
12,71.359055139669,301.1040792112,0.35547336447053,1000001.7857041,1000001.4302307,1.0018007994783,300.25035895718,299.91546982365,299.84506913091,0.0093794269606778,0.99999991150239,49.350157189847,2000
17,73.956586778137,301.70509748402,0.36726775905117,1000002.0184741,1000001.6512064,1.001765382509,300.49990123853,299.94548702872,299.84508238119,0.0097599454925928,0.99999997174099,71.34452503469,2000
22,74.747623772613,302.35167628435,0.3737309279386,1000002.1747122,1000001.8009812,1.0017549787345,300.77836204877,299.96859428942,299.84509791663,0.009876236004573,0.99999996955179,92.264912618189,2000
27,75.033470332286,303.02316407911,0.37861291400623,1000002.2824719,1000001.903859,1.0017512612846,301.07671746725,299.98561346195,299.84511647405,0.0099183822243566,0.99999997056409,112.59458730986,2000
32,75.155932160636,303.7093631833,0.38270294759423,1000002.3595532,1000001.9768502,1.001749675396,301.38998715176,299.99742935064,299.84513878525,0.0099364913219283,0.99999997341145,132.53543171301,2000
37,75.21503729341,304.40494533417,0.38634826522321,1000002.4173506,1000002.0310024,1.0017489114185,301.71449148977,300.00494679367,299.84516556765,0.0099452554398025,0.9999999775893,152.16778673892,2000
42,75.245267985395,305.10662725455,0.38973616901785,1000002.4628012,1000002.073065,1.0017485210256,302.04772201334,300.00926243759,299.84519751973,0.0099497515741114,0.999999981652,171.52846392923,2000
