time,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,hx_pri_T_out,hx_sec_T_in,hx_sec_T_out,m_dot_pump,m_dot_sec,power_to_coolant,total_power:power
0,0,0,0.00031415926535898,0,0,0,0,0,0,0,0,2000
1,300.01208332553,0.15558873373084,0.00031415926535898,1000000.3254417,1000000.169853,299.99997478968,299.84608229918,299.84504925934,0.0010195051530249,0.10000013002762,0.72740649938441,2000
3,300.18548651542,0.39916197047569,0.00031415926535898,1000001.0543614,1000000.6551994,300.00147105684,299.85215920148,299.84505088867,0.0054895974560102,0.29999993408468,8.2347393468617,2000
7,300.61704727039,0.77104042819701,0.00031415926535898,1000002.4459211,1000001.6748806,300.18263635922,299.87782762163,299.84505739268,0.012243033004651,0.69999999236589,35.760605014207,2000
12,301.32308950066,0.65733749151696,0.00031415926535898,1000002.8799519,1000002.2226144,300.62495994914,299.91546990678,299.84506871259,0.013248315513764,0.99999991113941,63.807442502004,2000
17,302.13388924172,0.39012267510407,0.00031415926535898,1000002.7029671,1000002.3128444,301.10222285063,299.9454871236,299.84508082555,0.010925631031544,0.99999997193547,76.374514953805,2000
22,302.9961426628,0.27846905600745,0.00031415926535898,1000002.735468,1000002.4569989,301.60855567654,299.96859422373,299.84509396724,0.0093545780602391,0.99999996987893,86.405927442656,2000
27,303.91760672185,0.32292264525313,0.00031415926535898,1000003.1502934,1000002.8273708,302.21113174931,299.9856130465,299.84510850278,0.0093403304761799,0.99999997101161,104.8282261816,2000
32,304.92270759955,0.39025205140933,0.00031415926535898,1000003.6170958,1000003.2268438,302.92052932576,299.99742845913,299.84512492777,0.0098510376294311,0.99999997423878,128.18542959694,2000
37,306.00694825296,0.41161081101745,0.00031415926535898,1000003.907053,1000003.4954422,303.69701668993,300.00494536504,299.84514376065,0.010123195191683,0.9999999787386,149.75739246633,2000
42,307.14327946744,0.40403295040596,0.00031415926535898,1000004.0461669,1000003.6421339,304.50803152011,300.0092604286,299.84516548325,0.010090807158654,0.99999998318257,167.74628707487,2000
