time,max_perm_zz,min_roof_disp,min_roof_pp,min_surface_disp,min_surface_pp
0,0,0,0,0,0
0.014706,1.0162463908025e-15,-0.0019926481854693,0.52147620112137,-0.0037082093558678,-0.00070487517021349
