measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values
0.1,0,0.625,0.625,0,0.071320496264782,0.071320496264782
0.2,0,0.625,0.625,0,0.11654638176579,0.11654638176579
0.3,0,0.625,0.625,0,0.1443407623123,0.1443407623123
0.4,0,0.625,0.625,0,0.16129632245313,0.16129632245313
0.5,0,0.625,0.625,0,0.17161435918879,0.17161435918879
0.6,0,0.625,0.625,0,0.17788412850751,0.17788412850751
0.7,0,0.625,0.625,0,0.18169001874501,0.18169001874501
0.8,0,0.625,0.625,0,0.18399860613017,0.18399860613017
0.9,0,0.625,0.625,0,0.18539827716782,0.18539827716782
1,0,0.625,0.625,0,0.18624661654488,0.18624661654488
0.1,0,0.5,0.5,0,0.063045737724656,0.063045737724656
0.2,0,0.5,0.5,0,0.099631538625454,0.099631538625454
0.3,0,0.5,0.5,0,0.1211842547445,0.1211842547445
0.4,0,0.5,0.5,0,0.13411967476372,0.13411967476372
0.5,0,0.5,0.5,0,0.14195107325976,0.14195107325976
0.6,0,0.5,0.5,0,0.14670505920146,0.14670505920146
0.7,0,0.5,0.5,0,0.14959165154796,0.14959165154796
0.8,0,0.5,0.5,0,0.15134356179675,0.15134356179675
0.9,0,0.5,0.5,0,0.15240624104871,0.15240624104871
1,0,0.5,0.5,0,0.15305056107625,0.15305056107625
0.1,0,0.25,0.25,0,0.034262827308394,0.034262827308394
0.2,0,0.25,0.25,0,0.048519474641975,0.048519474641975
0.3,0,0.25,0.25,0,0.055938079228696,0.055938079228696
0.4,0,0.25,0.25,0,0.060217759331029,0.060217759331029
0.5,0,0.25,0.25,0,0.062780712009847,0.062780712009847
0.6,0,0.25,0.25,0,0.064333845415273,0.064333845415273
0.7,0,0.25,0.25,0,0.065277703024026,0.065277703024026
0.8,0,0.25,0.25,0,0.065851277390736,0.065851277390736
0.9,0,0.25,0.25,0,0.066199577834715,0.066199577834715
1,0,0.25,0.25,0,0.066410925364339,0.066410925364339
0.1,0,0.875,0.625,0,0.074956733597537,0.074956733597537
0.2,0,0.875,0.625,0,0.12470017134668,0.12470017134668
0.3,0,0.875,0.625,0,0.15604156352691,0.15604156352691
0.4,0,0.875,0.625,0,0.17536484708874,0.17536484708874
0.5,0,0.875,0.625,0,0.18716704508604,0.18716704508604
0.6,0,0.875,0.625,0,0.1943450677073,0.1943450677073
0.7,0,0.875,0.625,0,0.19870206138955,0.19870206138955
0.8,0,0.875,0.625,0,0.201344186625,0.201344186625
0.9,0,0.875,0.625,0,0.20294563136143,0.20294563136143
1,0,0.875,0.625,0,0.2039160584493,0.2039160584493
0.1,0,0.625,0.875,0,0.074956733596763,0.074956733596763
0.2,0,0.625,0.875,0,0.12470017134644,0.12470017134644
0.3,0,0.625,0.875,0,0.15604156352682,0.15604156352682
0.4,0,0.625,0.875,0,0.17536484708872,0.17536484708872
0.5,0,0.625,0.875,0,0.18716704508603,0.18716704508603
0.6,0,0.625,0.875,0,0.1943450677066,0.1943450677066
0.7,0,0.625,0.875,0,0.19870206138881,0.19870206138881
0.8,0,0.625,0.875,0,0.20134418662454,0.20134418662454
0.9,0,0.625,0.875,0,0.20294563136116,0.20294563136116
1,0,0.625,0.875,0,0.20391605844915,0.20391605844915
0.1,0,0.75,0.25,0,0.049456148291978,0.049456148291978
0.2,0,0.75,0.25,0,0.076256664280913,0.076256664280913
0.3,0,0.75,0.25,0,0.091932568603683,0.091932568603683
0.4,0,0.75,0.25,0,0.10136867157691,0.10136867157691
0.5,0,0.75,0.25,0,0.10709807953019,0.10709807953019
0.6,0,0.75,0.25,0,0.1105825626038,0.1105825626038
