mc_points,mc_mu,mc_sig,tensor_points,tensor_mu,tensor_sig,smolyak_points,smolyak_mu,smolyak_sig
10,0.032530196357819854,132.29344455071396,256,0.0015190893091464274,6.257643137025354,45,0.0001370073518921187,118.9741932373234
32,0.012363008953466363,72.83653087769954,625,0.0002886818124026061,0.02533188874281391,165,0.0013847717936010455,30.587474531819623
100,0.005898352015557454,103.36159392418836,1296,0.00010026335585091816,0.009794640248427118,494,0.00010790556254447332,0.9984317334593399
317,0.0027037345874494833,48.50287823174817,2401,0.0013475739679195734,0.07773253620535452,1278,6.136680338592992e-05,0.5990024666772741
1000,0.003125557458464135,27.05127398955505,4096,0.0001905718749026235,0.0059239547904501155,2958,0.0012228427339254276,0.294756267670758
3163,0.0018338424848015928,12.838761651218046,6561,0.00020413821013301283,0.01181882882538284,6270,3.6752111169320524e-05,0.49207823125713596
10000,0.0008486157955678253,7.196047325883626,10000,0.009734887051672357,1.717828542693792,12375,0.0001646668216154838,0.4992911098496273
