value,i_1,i_2
0.025970959430874,0,0
0.00016404387955774,1,1
0.022777954931078,2,2
0.93886406358561,3,3
8.6569685766824e-05,0,1
0.012020415449637,0,2
1.4213014734047e-18,0,3
7.5927936967045e-05,1,2
9.1661485641462e-19,1,3
6.44650473728e-19,2,3
