value,i_1,i_2
0.0062212025671052,0,0
3.7732810553753e-05,1,1
0.0057356203976398,2,2
0.98567060124528,3,3
1.5142413609811e-05,0,1
0.0022997274530211,0,2
1.4629864025871e-17,0,3
1.4338504825961e-05,1,2
6.1026683603792e-18,1,3
1.5069047012714e-17,2,3
