measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values
0.1,0,0.25,0.25,0,0.098572025012904,0.098572025012904
0.1,0,0.25,0.75,0,0.083107905555021,0.083107905555021
0.1,0,0.75,0.25,0,0.083107905555269,0.083107905555269
0.1,0,0.75,0.75,0,0.094727518734014,0.094727518734014
0.2,0,0.25,0.25,0,0.19373707165094,0.19373707165094
0.2,0,0.25,0.75,0,0.15152500088974,0.15152500088974
0.2,0,0.75,0.25,0,0.15152500089001,0.15152500089001
0.2,0,0.75,0.75,0,0.17815309002526,0.17815309002526
0.3,0,0.25,0.25,0,0.2840096827231,0.2840096827231
0.3,0,0.25,0.75,0,0.21004765314278,0.21004765314278
0.3,0,0.75,0.25,0,0.21004765314305,0.21004765314305
0.3,0,0.75,0.75,0,0.248962712531,0.248962712531
0.4,0,0.25,0.25,0,0.3686150831772,0.3686150831772
0.4,0,0.25,0.75,0,0.26163170365817,0.26163170365817
0.4,0,0.75,0.25,0,0.26163170365841,0.26163170365841
0.4,0,0.75,0.75,0,0.3085756732608,0.3085756732608
0.5,0,0.25,0.25,0,0.44730636897416,0.44730636897416
0.5,0,0.25,0.75,0,0.30791631997788,0.30791631997788
0.5,0,0.75,0.25,0,0.30791631997811,0.30791631997811
0.5,0,0.75,0.75,0,0.35890518075004,0.35890518075004
0.6,0,0.25,0.25,0,0.52014926577313,0.52014926577313
0.6,0,0.25,0.75,0,0.349854992711,0.349854992711
0.6,0,0.75,0.25,0,0.34985499271122,0.34985499271122
0.6,0,0.75,0.75,0,0.4017010242921,0.4017010242921
0.7,0,0.25,0.25,0,0.58737445439963,0.58737445439963
0.7,0,0.25,0.75,0,0.38805531917331,0.38805531917331
0.7,0,0.75,0.25,0,0.38805531917353,0.38805531917353
0.7,0,0.75,0.75,0,0.43840429309936,0.43840429309936
0.8,0,0.25,0.25,0,0.64929149972575,0.64929149972575
0.8,0,0.25,0.75,0,0.42294640192471,0.42294640192471
0.8,0,0.75,0.25,0,0.42294640192493,0.42294640192493
0.8,0,0.75,0.75,0,0.47015829013763,0.47015829013763
0.9,0,0.25,0.25,0,0.70624162863584,0.70624162863584
0.9,0,0.25,0.75,0,0.45486043414426,0.45486043414426
0.9,0,0.75,0.25,0,0.45486043414446,0.45486043414446
0.9,0,0.75,0.75,0,0.4978585579995,0.4978585579995
1,0,0.25,0.25,0,0.75857237518528,0.75857237518528
1,0,0.25,0.75,0,0.4840727563415,0.4840727563415
1,0,0.75,0.25,0,0.4840727563417,0.4840727563417
1,0,0.75,0.75,0,0.52220524128652,0.52220524128652
