time,boxA,boxB,boxC,diss_A,diss_B,imm_A,imm_A_sandE,imm_A_sandESF,imm_A_sandF,imm_A_sandG,imm_B,imm_B_fault1,imm_B_sandC,imm_B_sandD,imm_B_sandE,imm_B_sandESF,imm_B_sandF,p_15_5,p_15_5_w,p_17_11,p_17_11_w,p_17_7,p_17_7_w,p_5_3,p_5_3_w,p_5_7,p_5_7_w,p_9_3,p_9_3_w,seal_A,seal_B,x0mass,x1gas,x1mass
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111400.3605,109928.8605,105502.5885,105492.5885,109434.4365,107962.9365,113366.2845,113356.2845,109434.4365,107962.9365,113366.2845,113356.2845,0,0,31.979390615599,0,0
2,1.0005330146501e-28,-1.7221363048357e-51,-7.050991736372e-85,1.0005330146501e-28,-1.7221363048357e-51,0,0,0,0,0,0,0,0,0,0,0,0,112868.10666211,111396.60666211,105510.86355908,105500.86355908,110902.67389456,109431.17389456,113372.4058145,113362.4058145,110902.9309752,109431.4309752,113373.25721256,113363.25721256,1.0005314139378e-28,-1.7221318444804e-51,31.979392692687,0,6.12e-07
