time,dispMag
300,0
350,5.7476889332387e-06
400,6.4862843400387e-06
450,7.6286301824182e-06
500,9.5857316539578e-06
550,1.3643962879333e-05
600,2.6865365840519e-05
650,0.00023139293684812
700,2.0916137613912e-05
750,1.3383711021408e-05
800,1.7563891084125e-05
850,0.00017397181916815
900,1.8963541208347e-05
950,9.0309787154784e-06
1000,5.93893982167e-06
1050,4.4090435256151e-06
1100,3.4852178173926e-06
1150,2.8620186332377e-06
1200,2.4111553305031e-06
