frac_T,id,x,y,z
1,0,0,0,0
0.73231174980398,1,0.5,0,0
0.53206086278303,2,1,0,0
0.38273346858462,3,1.5,0,0
0.27275598457148,4,2,0,0
0.19264655748237,5,2.5,0,0
0.13489817610901,6,3,0,0
0.093678100101726,7,3.5,0,0
0.064531755583476,8,4,0,0
0.044108101360061,9,4.5,0,0
0.029920911134093,10,5,0,0
0.020148906993074,11,5.5,0,0
0.013473712883982,12,6,0,0
0.0089517426281676,13,6.5,0,0
0.0059150963983479,14,7,0,0
0.0038963690168701,15,7.5,0,0
0.0025726430069161,16,8,0,0
0.0017245680334698,17,8.5,0,0
0.0012071529535608,18,9,0,0
0.0009296215876976,19,9.5,0,0
0.00084236243349927,20,10,0,0
