frac_T,id,x,y,z
1,0,0,0,0
0.88773420375709,1,0.5,0,0
0.63194873912431,2,1,0,0
0.40348957362286,3,1.5,0,0
0.24248667448744,4,2,0,0
0.14016686018707,5,2.5,0,0
0.078859969814458,6,3,0,0
0.043492696551061,7,3.5,0,0
0.023623300970163,8,4,0,0
0.012676887102089,9,4.5,0,0
0.0067363452284788,10,5,0,0
0.0035506784746479,11,5.5,0,0
0.0018588179666241,12,6,0,0
0.00096749882109543,13,6.5,0,0
0.0005011299957031,14,7,0,0
0.00025859314177764,15,7.5,0,0
0.00013324618006221,16,8,0,0
6.9060350416992e-05,17,8.5,0,0
3.6942704290801e-05,18,9,0,0
2.2167716823779e-05,19,9.5,0,0
1.7903152106242e-05,20,10,0,0
