frac_T,id,x,y,z
1,0,0,0,0
0.76450489575943,1,0.5,0,0
0.53373435758957,2,1,0,0
0.36840588537746,3,1.5,0,0
0.25715839046981,4,2,0,0
0.17989257277354,5,2.5,0,0
0.12458288655387,6,3,0,0
0.084735479255425,7,3.5,0,0
0.056405013589076,8,4,0,0
0.036725598109103,9,4.5,0,0
0.023411852250827,10,5,0,0
0.014636085787725,11,5.5,0,0
0.0089895116964123,12,6,0,0
0.0054347899475419,13,6.5,0,0
0.0032404935120126,14,7,0,0
0.0019102152102176,15,7.5,0,0
0.0011181301853709,16,8,0,0
0.00065688517977138,17,8.5,0,0
0.00039889619279651,18,9,0,0
0.00026960619489448,19,9.5,0,0
0.00023046466662601,20,10,0,0
