frac_T,id,x,y,z
1,0,0,0,0
0.48451606899037,1,0.5,0,0
0.23475582111053,2,1,0,0
0.11374296761872,3,1.5,0,0
0.055110295549465,4,2,0,0
0.026701823767908,5,2.5,0,0
0.012937462702175,6,3,0,0
0.0062684086027101,7,3.5,0,0
0.0030371447601201,8,4,0,0
0.0014715455745128,9,4.5,0,0
0.00071298775446364,10,5,0,0
0.00034545459648049,11,5.5,0,0
0.00016737948458897,12,6,0,0
8.1100488392902e-05,13,6.5,0,0
3.9299522666064e-05,14,7,0,0
1.9051637582825e-05,15,7.5,0,0
9.2522631521032e-06,16,8,0,0
4.5271176260822e-06,17,8.5,0,0
2.2847842224146e-06,18,9,0,0
1.2954975546415e-06,19,9.5,0,0
1.0167020423472e-06,20,10,0,0
