frac_T,id,x,y,z
1,0,0,0,0
0.73333498380457,1,0.5,0,0
0.5340014253307,2,1,0,0
0.38537406167338,3,1.5,0,0
0.27582829525466,4,2,0,0
0.19588706765159,5,2.5,0,0
0.13808843497489,6,3,0,0
0.096660106332918,7,3.5,0,0
0.067207078297771,8,4,0,0
0.046428989816697,9,4.5,0,0
0.031878335958255,10,5,0,0
0.021760587107283,11,5.5,0,0
0.014773757311735,12,6,0,0
0.0099825578023503,13,6.5,0,0
0.0067216168014005,14,7,0,0
0.0045223514685326,15,7.5,0,0
0.0030586339747215,16,8,0,0
0.0021071361700137,17,8.5,0,0
0.0015190222373132,18,9,0,0
0.001200407676913,19,9.5,0,0
0.0010996830890174,20,10,0,0
