frac_T,id,x,y,z
1,0,0,0,0
0.73415924818123,1,0.5,0,0
0.53554280464143,2,1,0,0
0.38744838735424,3,1.5,0,0
0.27822029205256,4,2,0,0
0.19839188430425,5,2.5,0,0
0.14054062818697,6,3,0,0
0.098942991922542,7,3.5,0,0
0.069250090669588,8,4,0,0
0.04819969742086,9,4.5,0,0
0.033372752864575,10,5,0,0
0.022993936026653,11,5.5,0,0
0.015772739274846,12,6,0,0
0.01077946802394,13,6.5,0,0
0.0073502450724976,14,7,0,0
0.0050154091383263,15,7.5,0,0
0.0034463845841235,16,8,0,0
0.0024169162928445,17,8.5,0,0
0.0017753843257326,18,9,0,0
0.0014256730575472,19,9.5,0,0
0.0013147460729996,20,10,0,0
