time,TTC-27,TTC-28,TTC-29,TTC-30,TTC-31,TTC-32,TTC-33,TTC-34,TTC-35
 0,0,0,0,0,0,0,0,0,0
 1,759.129546416,806.6191041348,819.15911440074,820.0004054789,820.0160500097,819.13818119925,806.51409567723,758.29556338541,716.29291457052
