time,TTC-27,TTC-28,TTC-29,TTC-30,TTC-31,TTC-32,TTC-33,TTC-34,TTC-35
0,0,0,0,0,0,0,0,0,0
1,766.31632577472,796.00768651418,804.04715503659,806.96571230699,811.4615996525,817.93032139862,819.53180646228,793.20287824047,746.73520926592
