time,TTC-31,post_func,report_pressure_outlet
-1,616.4,386582.14285715,200000
-0.9,785.90304012972,386582.14285715,200000
-0.78,786.09350778588,386582.14285715,200000
-0.636,786.09050226627,386582.14285715,200000
-0.4632,786.08478347676,386582.14285715,200000
-0.25584,786.1164127607,386582.14285715,200000
-0.0070080000000001,786.09508916829,386582.14285715,200000
0.2915904,786.4606925778,384588.09927652,200000
0.64990848,786.88990710474,382137.73785427,200000
1.079890176,787.45423040858,379197.30414763,200000
1.5958682112,788.13575095944,375668.78369961,200000
2.21504185344,788.9434561493,371434.55916202,200000
2.958050224128,789.98888459175,366353.48971689,200000
3.8496602689536,791.2770554745,360256.20638276,200000
4.9195923227443,790.40159168293,347963.46164619,200000
6.2035107872932,787.88866166997,330473.91846701,200000
7.7442129447518,784.72729665084,309768.32425205,200000
9.5930555337022,784.64822044634,292049.75165181,200000
11.811666640443,784.80519264601,271305.94984182,200000
14.473999968531,785.82215396334,247918.54680559,200000
17.668799962237,791.15160027845,224215.4136308,200000
21.502559954685,804.58707064679,201087.19962285,200000
26.103071945622,836.90886560831,178112.55738549,200000
31.623686334746,931.60100647349,154480.09545546,200000
38.248423601695,982.82440251145,133206.25116685,200000
46.198108322034,987.55133013419,111058.95938064,200000
55.737729986441,990.75511349296,91223.333728208,200000
67.18527598373,984.8078740707,73797.114917293,200000
80.922331180476,965.04600536475,61247.813623807,200000
97.406797416571,919.16993388145,53052.216470362,200000
117.18815689988,882.46328137452,45867.880404353,200000
137.18815689988,853.10933773935,41172.373573145,200000
157.18815689988,834.0717148488,37326.000498569,200000
177.18815689988,818.48154097294,34121.091456021,200000
197.18815689988,808.00106452555,31671.699126133,200000
217.18815689988,798.95231506301,29598.004048507,200000
237.18815689988,791.03929972998,27871.607860056,200000
257.18815689988,783.73607257503,26333.016904519,200000
277.18815689988,777.92392066727,25131.34642927,200000
297.18815689988,771.9489579003,24075.056932673,200000
317.18815689988,768.31347879129,23142.568125135,200000
337.18815689988,763.63321924452,22389.477678245,200000
357.18815689988,759.75320698986,21694.813385375,200000
377.18815689988,755.89175275402,21011.597975468,200000
397.18815689988,753.16963907876,20481.793108014,200000
417.18815689988,751.22464367292,20082.354302041,200000
437.18815689988,748.71494998444,19646.781412793,200000
457.18815689988,746.56967596786,19271.901824818,200000
477.18815689988,744.86137339753,18978.543730472,200000
497.18815689988,743.33522637408,18735.902656033,200000
517.18815689988,741.73931199657,18483.183806267,200000
537.18815689988,740.72173697481,18314.983309836,200000
557.18815689988,739.97321106952,18179.545738589,200000
577.18815689988,738.569579826,17949.275647628,200000
597.18815689988,738.02832135797,17855.317617879,200000
617.18815689988,736.85921182458,17855.317617879,200000
637.18815689988,729.32325412499,18118.904749669,200000
657.18815689988,726.50826012694,18691.823636926,200000
677.18815689988,727.99993363506,18944.139942492,200000
697.18815689988,729.4283696823,19173.235676529,200000
717.18815689988,730.43536677847,19310.263582886,200000
737.18815689988,730.9656503414,19427.170078567,200000
757.18815689988,731.83915868822,19545.963389551,200000
777.18815689988,731.92446400801,19587.263605201,200000
797.18815689988,731.83096361671,19681.799866764,200000
817.18815689988,732.40659973359,19793.182449838,200000
837.18815689988,732.63703147676,19868.236918779,200000
857.18815689988,732.63364576808,19868.236918779,200000
877.18815689988,732.6386735485,19868.236918779,200000
897.18815689988,732.56554542941,19868.236918779,200000
900,732.65099245423,19868.236918779,200000
