time,TTC-27,TTC-28,TTC-29,TTC-30,TTC-31,TTC-32,TTC-33,TTC-34,TTC-35
0,0,0,0,0,0,0,0,0,0
1,758.34322959601,794.58868931067,803.99004258321,807.06874921297,811.56766794604,817.91742671102,818.52367810114,787.43283872886,730.17677492586
