time,TTC-27,TTC-28,TTC-29,TTC-30,TTC-31,TTC-32,TTC-33,TTC-34,TTC-35
0,0,0,0,0,0,0,0,0,0
1,769.46303250675,806.99946813247,818.12049908847,819.70810485828,819.70803513871,818.11438219951,806.90157647029,768.69664785429,730.55335936552
