time,D1_area,D1_mfr,D2_area,D2_mfr,HFD_mfr,K011_area,K011_mfr,P_area,P_mfr,V_XX09,V_o,X402_area,X402_mfr,XX09_area,XX09_mfr,area_pp_inlet_central_assembly,area_pp_inlet_interwall,area_pp_inlet_interwrapper,area_pp_inlet_porous_flow_d1,area_pp_inlet_porous_flow_d2,area_pp_inlet_porous_flow_hfd,area_pp_inlet_porous_flow_k011,area_pp_inlet_porous_flow_p,area_pp_inlet_porous_flow_x402,hfd_area,inlet_average_pressure_Pr,inter_wrapper_area,interwall_area,interwall_mfr,interwrapper_mfr,outlet_average_pressure_Pr,pressure_drop_Pr,report_pressure_drop
0,0.0027288685258801,0,0.0027288685258801,0,0,0.0027288685258801,0,0.0027288685258801,0,0.001141085048639,0.0016700675378386,0.0027288685258801,0,0.0018645180533317,0,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0,0.0021702354131725,0.00066989346699858,0,0,0,0,0
0.2,0.0027288685258801,0.924,0.0027288685258801,0.9236,0.7054,0.0027288685258801,0.129,0.0027288685258801,0.5832,0.001141085048639,0.0016700675378386,0.0027288685258801,0.7054,0.0018645180533317,0.49,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,199999.99999942,0.0021702354131725,0.00066989346699858,0.04846,2e-06,200000,-5.7817669585347e-07,0
0.44,0.0027288685258801,2.0328,0.0027288685258801,2.03192,1.55188,0.0027288685258801,0.2838,0.0027288685258801,1.28304,0.001141085048639,0.0016700675378386,0.0027288685258801,1.55188,0.0018645180533317,1.078,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,202133.58117112,0.0021702354131725,0.00066989346699858,0.106612,4.4e-06,200000,2133.5811711173,0
0.632,0.0027288685258801,2.91984,0.0027288685258801,2.918576,2.229064,0.0027288685258801,0.40764,0.0027288685258801,1.842912,0.001141085048639,0.0016700675378386,0.0027288685258801,2.229064,0.0018645180533317,1.5484,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,205103.07457794,0.0021702354131725,0.00066989346699858,0.1531336,6.32e-06,200000,5103.0745779424,0
0.8624,0.0027288685258801,3.984288,0.0027288685258801,3.9825632,3.0416848,0.0027288685258801,0.556248,0.0027288685258801,2.5147584,0.001141085048639,0.0016700675378386,0.0027288685258801,3.0416848,0.0018645180533317,2.11288,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,207160.42274624,0.0021702354131725,0.00066989346699858,0.20895952,8.624e-06,200000,7160.4227462382,0
1.13888,0.0027288685258801,4.62,0.0027288685258801,4.618,3.527,0.0027288685258801,0.645,0.0027288685258801,2.916,0.001141085048639,0.0016700675378386,0.0027288685258801,3.527,0.0018645180533317,2.45,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,211596.79789569,0.0021702354131725,0.00066989346699858,0.2423,1e-05,200000,11596.797895689,0
1.470656,0.0027288685258801,4.62,0.0027288685258801,4.618,3.527,0.0027288685258801,0.645,0.0027288685258801,2.916,0.001141085048639,0.0016700675378386,0.0027288685258801,3.527,0.0018645180533317,2.45,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,214020.47241474,0.0021702354131725,0.00066989346699858,0.2423,1e-05,200000,14020.472414741,0
1.8687872,0.0027288685258801,4.62,0.0027288685258801,4.618,3.527,0.0027288685258801,0.645,0.0027288685258801,2.916,0.001141085048639,0.0016700675378386,0.0027288685258801,3.527,0.0018645180533317,2.45,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,213211.30434852,0.0021702354131725,0.00066989346699858,0.2423,1e-05,200000,13211.304348523,0
2.34654464,0.0027288685258801,4.62,0.0027288685258801,4.618,3.527,0.0027288685258801,0.645,0.0027288685258801,2.916,0.001141085048639,0.0016700675378386,0.0027288685258801,3.527,0.0018645180533317,2.45,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,213108.80234673,0.0021702354131725,0.00066989346699858,0.2423,1e-05,200000,13108.802346733,0
2.919853568,0.0027288685258801,4.62,0.0027288685258801,4.618,3.527,0.0027288685258801,0.645,0.0027288685258801,2.916,0.001141085048639,0.0016700675378386,0.0027288685258801,3.527,0.0018645180533317,2.45,0.0018645180533317,0.00066989346699858,0.0021702354131725,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,0.0027288685258801,212978.62363428,0.0021702354131725,0.00066989346699858,0.2423,1e-05,200000,12978.623634279,0
