time,TTC-27,TTC-28,TTC-29,TTC-30,TTC-31,TTC-32,TTC-33,TTC-34,TTC-35
0,0,0,0,0,0,0,0,0,0
1,730.33167306808,759.73848434023,768.50085741048,769.75869609231,769.75908415493,768.49621160553,759.661646555,729.73019888526,699.88573712355
