time,disp_z,resid_z,stress_zz
0,0,0,0
0.004,-0.004,-0.14286159097609,0
0.008,-0.008,-0.28572318214064,0
0.012,-0.012,-0.42858477333782,0
0.016,-0.016,-0.18842160025759,-7.3768060072206e-05
0.02,-0.02,-238.64385594718,-0.047498762467796
0.024,-0.024,-615.06017746749,-0.12238487936866
0.028,-0.028,-970.78025168782,-0.19315028532504
0.032,-0.043184139194839,-2529.4335875769,-0.50314563257674
0.036,-0.046740716923709,-2851.2144079491,-0.56712222132005
0.04,-0.048767054273445,-3174.2400034421,-0.63136256559938
