# https://www.engineeringtoolbox.com/water-density-specific-weight-d_595.html
# Temp. (C), Thermal Expansion (1/K)
0.1,-0.68e-4
1,-0.5e-4
4,0.003e-4
10,0.88e-4
15,1.51e-4
20,2.07e-4
25,2.57e-4
30,3.03e-4
35,3.45e-4
40,3.84e-4
45,4.20e-4
50,4.54e-4
55,4.86e-4
60,5.16e-4
65,5.44e-4
70,5.71e-4
75,5.97e-4
80,6.21e-4
85,6.44e-4
90,6.66e-4
95,6.87e-4
100,7.03e-4
