time,DP_Planar_mean,DP_SubchannelDelta,Kloss,Pin_Planar_Mean,Pout_Planar_Mean,Pout_user_provided,T,core_f,rho_in
0,0,0,0,0,0,200000,0,0,0
1,50985.184882299,50985.184882299,10.74387055605,50985.184882299,0,200000,300,0.041283537489035,939.06586
