time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
0,0,0,0,0,0,0
0.125,0,11.048419814629,9.6648234868324,473.00000052289,0,0
0.25,0,11.254754860414,9.6648235076315,473.00000104494,0,0
0.4375,0,11.250255776587,9.6648235387555,473.00000182614,0,0
0.71875,0,11.269101737934,9.6648235852741,473.00000299374,0,0
1,0,11.288880501179,9.6648236316264,473.00000415716,0,0
1.28125,0,11.305364323162,9.6648236778132,473.00000531642,0,0
1.703125,0,11.323724372703,9.664823746724,473.00000704603,0,0
2.3359375,0,11.343681712571,9.6648238492694,473.00000961983,0,0
3.28515625,0,11.365157633016,9.664824001273,473.00001343494,0,0
4.708984375,0,11.387906831025,9.6648242253037,473.00001905774,0,0
6.8447265625,0,11.411524704314,9.6648245527543,473.00002727602,0,0
10,0,11.435359269657,9.6648250188096,473.00003897253,0,0
12.1357421875,0,11.448927570954,9.6648253264713,473.00004669366,0,0
15.33935546875,0,11.464304479029,9.6648257713962,473.00005785916,0,0
20.144775390625,0,11.481039091281,9.6648264045312,473.000073747,0,0
27.352905273438,0,11.499044594227,9.6648272860497,473.00009586607,0,0
38.165100097656,0,11.518229775679,9.6648284794636,473.00012580797,0,0
48.977294921875,0,11.53328571918,9.6648295641652,473.00015301939,0,0
65.195587158203,0,11.549786846163,9.6648309981039,473.00018898671,0,0
81.413879394531,0,11.562864418844,9.6648322781222,473.00022108867,0,0
100,0,11.574814054165,9.6648335865781,473.00025389888,0,0
116.21829223633,0,11.583687989278,9.6648346300868,473.00028006208,0,0
140.54573059082,0,11.59430784181,9.6648360272308,473.000315086,0,0
164.87316894531,0,11.603217311502,9.6648372938741,473.00034683362,0,0
200,0,11.613558047292,9.6648389238247,473.00038767969,0,0
224.32743835449,0,11.620001499955,9.6648399751013,473.00041402095,0,0
260.81859588623,0,11.628341431586,9.6648414179196,473.00045016717,0,0
297.30975341797,0,11.635969888612,9.6648427545563,473.00048364837,0,0
300,0,11.636537881622,9.6648428525313,473.00048610248,0,0
336.49115753174,0,11.643789856177,9.664844096599,473.00051726049,0,0
372.98231506348,0,11.650804387735,9.6648452699634,473.00054664417,0,0
400,0,11.655925490414,9.6648461045746,473.00056754288,0,0
436.49115753174,0,11.662509273151,9.6648471783288,473.00059442699,0,0
491.22789382935,0,11.671353588622,9.6648486898209,473.00063226577,0,0
500,0,11.672773515341,9.6648489295887,473.00063826792,0,0
554.73673629761,0,11.680481488592,9.664850344751,473.00067368977,0,0
600,0,11.686217709172,9.6648514663901,473.00070176176,0,0
654.73673629761,0,11.692278356656,9.6648527611027,473.00073416176,0,0
700,0,11.696775939327,9.6648537939483,473.0007600062,0,0
754.73673629761,0,11.701515867296,9.6648549940214,473.00079003209,0,0
800,0,11.705021345688,9.6648559559593,473.00081409782,0,0
854.73673629761,0,11.708722754471,9.6648570792006,473.00084219649,0,0
900,0,11.711474819996,9.6648579828634,473.00086480052,0,0
