time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
0,0,0,0,0,0,0
1,0,10.709070387991,9.6648235076135,473.00000104279,0,0
2.5,0,11.250791124919,9.6648235699586,473.00000260508,0,0
4.75,0,11.263143581417,9.6648236633072,473.00000494426,0,0
8.125,0,11.255241492676,9.6648238029518,473.00000844352,0,0
10,0,11.264917310532,9.6648238804156,473.00001038463,0,0
13.375,0,11.280707085249,9.6648240194743,473.00001386915,0,0
18.4375,0,11.299622818556,9.6648242272213,473.00001907478,0,0
26.03125,0,11.320523745501,9.6648245369665,473.00002683606,0,0
37.421875,0,11.34318903178,9.6648249974219,473.00003837329,0,0
54.5078125,0,11.36713396848,9.6648256789266,473.0000554483,0,0
80.13671875,0,11.391837348913,9.6648266811443,473.00008055686,0,0
100,0,11.407532941656,9.6648274461377,473.00009972104,0,0
125.62890625,0,11.423120718286,9.6648284141812,473.00012397009,0,0
164.072265625,0,11.440233328193,9.6648298253447,473.00015931523,0,0
200,0,11.453238304054,9.664831109884,473.0001914854,0,0
238.443359375,0,11.464832965177,9.6648324467969,473.00022496351,0,0
296.1083984375,0,11.479174854902,9.664834372912,473.00027318841,0,0
300,0,11.480160941031,9.664834502539,473.00027643384,0,0
357.6650390625,0,11.49337689785,9.6648363493112,473.00032266419,0,0
400,0,11.502866231537,9.6648376670609,473.00035564742,0,0
457.6650390625,0,11.514722162131,9.6648393956687,473.00039890778,0,0
500,0,11.522844557883,9.6648406306027,473.00042980968,0,0
557.6650390625,0,11.532444031353,9.6648422532024,473.0004704061,0,0
600,0,11.538809827898,9.6648434137844,473.00049943973,0,0
657.6650390625,0,11.54627113746,9.6648449411122,473.00053764243,0,0
700,0,11.551210750644,9.6648460348208,473.00056499598,0,0
757.6650390625,0,11.557010006141,9.6648474763692,473.00060104381,0,0
800,0,11.560842389582,9.6648485098195,473.00062688374,0,0
857.6650390625,0,11.565356775784,9.6648498739905,473.00066098807,0,0
900,0,11.568354067576,9.6648508530407,473.00068546171,0,0
957.6650390625,0,11.571937162886,9.6648521472799,473.00071780981,0,0
1000,0,11.574349855825,9.6648530771238,473.00074104779,0,0
1057.6650390625,0,11.577302956322,9.6648543080365,473.00077180576,0,0
1100,0,11.5793275425,9.6648551932844,473.00079392399,0,0
1157.6650390625,0,11.581862143807,9.6648563667382,473.00082323934,0,0
1200,0,11.583625542202,9.6648572114872,473.00084434084,0,0
1257.6650390625,0,11.585872752419,9.6648583327005,473.00087234475,0,0
1300,0,11.587456678767,9.6648591405967,473.00089252115,0,0
1357.6650390625,0,11.589519494015,9.6648602142164,473.00091933041,0,0
1400,0,11.591002670203,9.6648609885084,473.00093866336,0,0
1457.6650390625,0,11.592998964607,9.6648620186784,473.00096438211,0,0
1500,0,11.594471546747,9.6648627622647,473.00098294444,0,0
1557.6650390625,0,11.596512211734,9.6648637526849,473.00100766564,0,0
1600,0,11.598041250788,9.6648644681551,473.00102552241,0,0
1657.6650390625,0,11.600178571908,9.6648654221339,473.00104932918,0,0
1700,0,11.601780205984,9.6648661118049,473.00106653859,0,0
1757.6650390625,0,11.604003292301,9.6648670323047,473.00108950535,0,0
1800,0,11.605656950142,9.6648676982523,473.00110611955,0,0
1857.6650390625,0,11.607928714226,9.6648685879295,473.00112831302,0,0
1900,0,11.60960722438,9.6648692320166,473.00114437879,0,0
1957.6650390625,0,11.611901407648,9.664870093257,473.00116585888,0,0
2000,0,11.613595104263,9.6648707171574,473.00118141827,0,0
2057.6650390625,0,11.615921758071,9.6648715521068,473.00120223887,0,0
2100,0,11.61765078926,9.6648721573271,473.0012173297,0,0
2157.6650390625,0,11.620052561219,9.6648729679187,473.00123753936,0,0
2200,0,11.621851426929,9.6648735558172,473.00125219573,0,0
2257.6650390625,0,11.624367886048,9.6648743437951,473.00127183824,0,0
2300,0,11.626257535053,9.664874915598,473.00128609095,0,0
2357.6650390625,0,11.628897876514,9.6648756825386,473.00130520587,0,0
2400,0,11.630874516414,9.6648762393549,473.00131908276,0,0
2457.6650390625,0,11.633617869559,9.664876986685,473.00133770592,0,0
2500,0,11.635659629951,9.6648775295193,473.0013512322,0,0
2557.6650390625,0,11.638469609993,9.6648782585328,473.00136939608,0,0
2600,0,11.640547983672,9.6648787882968,473.00138259464,0,0
2657.6650390625,0,11.643386156048,9.6648795001687,473.00140032873,0,0
2700,0,11.64547403672,9.6648800176907,473.00141322036,0,0
2757.6650390625,0,11.648307083016,9.6648807134902,473.0014305515,0,0
