time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
0,0,0,0,0,0,0
1,0,9.7725290407415,9.6648234867629,473.00000051916,0,0
2.5,0,10.359012256817,9.6648235178979,473.00000129767,0,0
4.75,0,10.962121282385,9.6648235645792,473.00000246489,0,0
8.125,0,11.282122598406,9.6648236345539,473.00000421454,0,0
10,0,11.342984564384,9.6648236734141,473.0000051862,0,0
13.375,0,11.329734373344,9.6648237433151,473.00000693399,0,0
18.4375,0,11.277376477504,9.6648238480604,473.000009553,0,0
26.03125,0,11.254002070599,9.6648240049395,473.00001347549,0,0
37.421875,0,11.263878370883,9.664824239723,473.00001934576,0,0
54.5078125,0,11.281736714333,9.6648245907002,473.00002812098,0,0
80.13671875,0,11.30381187598,9.6648251144907,473.00004121642,0,0
100,0,11.318888264223,9.6648255188486,473.00005132557,0,0
125.62890625,0,11.3343769475,9.664826037938,473.00006430256,0,0
164.072265625,0,11.351726533352,9.6648268107,473.00008362015,0,0
200,0,11.365153812761,9.6648275278196,473.00010154578,0,0
238.443359375,0,11.377241698748,9.6648282894062,473.00012058181,0,0
296.1083984375,0,11.392299053404,9.6648294190754,473.00014881578,0,0
300,0,11.393336158671,9.6648294952548,473.00015071971,0,0
357.6650390625,0,11.407315312919,9.6648306115831,473.00017861763,0,0
400,0,11.417402786558,9.6648314244929,473.00019893152,0,0
457.6650390625,0,11.430048946279,9.664832519643,473.00022629603,0,0
500,0,11.438728153104,9.6648333171953,473.00024622313,0,0
557.6650390625,0,11.448961487979,9.6648343917737,473.00027306957,0,0
600,0,11.455720544308,9.6648351744075,473.00029262099,0,0
657.6650390625,0,11.46359659622,9.6648362290011,473.0003189642,0,0
700,0,11.468792449835,9.6648369971415,473.0003381507,0,0
757.6650390625,0,11.474882644244,9.6648380323184,473.00036400505,0,0
800,0,11.478907909102,9.6648387863768,473.00038283702,0,0
857.6650390625,0,11.483655565697,9.664839802687,473.00040821641,0,0
900,0,11.486810738918,9.6648405430616,473.00042670392,0,0
957.6650390625,0,11.490586082727,9.6648415410375,473.00045162181,0,0
1000,0,11.493129338525,9.6648422681139,473.0004697746,0,0
1057.6650390625,0,11.496244210471,9.6648432482709,473.00049424402,0,0
1100,0,11.498381203611,9.6648439624223,473.00051207152,0,0
1157.6650390625,0,11.501061487828,9.6648449252596,473.00053610508,0,0
1200,0,11.502929778568,9.6648456268474,473.00055361642,0,0
1257.6650390625,0,11.505317923992,9.6648465728481,473.00057722632,0,0
1300,0,11.507005253102,9.6648472622224,473.00059443035,0,0
1357.6650390625,0,11.509209911337,9.6648481918545,473.00061762841,0,0
1400,0,11.510798847646,9.664848869354,473.00063453369,0,0
1457.6650390625,0,11.512943453487,9.6648497830707,473.00065733135,0,0
1500,0,11.514528175544,9.6648504490237,473.00067394616,0,0
1557.6650390625,0,11.516727787047,9.6648513472638,473.00069635451,0,0
1600,0,11.518377300487,9.6648520019881,473.00071268687,0,0
1657.6650390625,0,11.520684344309,9.6648528851767,473.00073471664,0,0
1700,0,11.52241348725,9.6648535289803,473.00075077433,0,0
1757.6650390625,0,11.524813474158,9.6648543975291,473.00077243591,0,0
1800,0,11.526598555911,9.6648550307102,473.00078822645,0,0
1857.6650390625,0,11.529050921211,9.6648558850181,473.00080952991,0,0
