"u","GlobalNodeId","PedigreeNodeId","ObjectId","GlobalElementId","PedigreeElementId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.15736,1314,1314,1,1238,1238,1,0,0.3,0,0
0.14166,1249,1249,1,1188,1188,1,0.05,0.3,0.05,0
0.12581,1184,1184,1,1113,1113,1,0.1,0.3,0.1,0
0.1099,1119,1119,1,1063,1063,1,0.15,0.3,0.15,0
0.094041,1054,1054,1,988,988,1,0.2,0.3,0.2,0
0.078422,989,989,1,938,938,1,0.25,0.3,0.25,0
0.063231,924,924,1,863,863,1,0.3,0.3,0.3,0
0.048805,859,859,1,813,813,1,0.35,0.3,0.35,0
0.03544,794,794,1,738,738,1,0.4,0.3,0.4,0
0.023698,729,729,1,688,688,1,0.45,0.3,0.45,0
0.013946,664,664,1,613,613,1,0.5,0.3,0.5,0
0.0068508,599,599,1,563,563,1,0.55,0.3,0.55,0
0.0024368,534,534,1,488,488,1,0.6,0.3,0.6,0
0.00055865,469,469,1,438,438,1,0.65,0.3,0.65,0
4.9695e-005,404,404,1,363,363,1,0.7,0.3,0.7,0
5.5876e-007,339,339,1,313,313,1,0.75,0.3,0.75,0
-8.4287e-008,274,274,1,238,238,1,0.8,0.3,0.8,0
4.032e-009,209,209,1,188,188,1,0.85,0.3,0.85,0
-1.4253e-010,144,144,1,113,113,1,0.9,0.3,0.9,0
3.2889e-012,79,79,1,63,63,1,0.95,0.3,0.95,0
-1.9124e-013,27,27,1,13,13,1,1,0.3,1,0
