time,free_cm3_Albite,free_cm3_Anhydrite,free_cm3_Barite,free_cm3_Calcite,free_cm3_Celestite,free_cm3_Chalcedony,free_cm3_Dolomite,free_cm3_Fluorite,free_cm3_Goethite,free_cm3_Illite,free_cm3_K-feldspar,free_cm3_Kaolinite,free_cm3_Pyrrhotite,free_cm3_Quartz,free_cm3_Siderite,massfrac_Al,massfrac_BOH,massfrac_Ba,massfrac_Br,massfrac_Ca,massfrac_Cl,massfrac_F,massfrac_Fe,massfrac_H,massfrac_H2O,massfrac_HCO3,massfrac_K,massfrac_Li,massfrac_Mg,massfrac_NO3,massfrac_Na,massfrac_O2aq,massfrac_SO4,massfrac_SiO2aq,massfrac_Sr,porosity,solution_temperature
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,53.674868068369,0.0096562518706512,447.3167498543,0,0,184.55094004793,0,0,51.268978378039,743.31876211586,21.257894533677,9.0830316500074,7309.6364882856,179.88017917288,3.268028901929e-08,0.0003758574621917,1.5637460875161e-07,9.0315286107068e-05,0.00082159428184586,0.04870664551708,5.5648860174073e-06,4.3291908204093e-05,-2.952985071156e-06,0.91032275033842,5.0897287594019e-05,6.8434768308898e-05,8.3017067912701e-05,1.8546347062146e-05,0.00010958455036169,0.033298053919671,-7.0806852373351e-05,0.0060359986852517,3.0246609868421e-05,1.2771866652177e-05,0.10000002451642,92
20000,0,53.834169326617,0.0096489159002719,447.31301207061,0,0,184.54554519731,0,0,51.401378325257,743.21475574494,21.193309947283,9.0830245805125,7309.6534568701,179.8800862924,1.5419577313692e-06,0.00037600217076694,1.7401926440954e-07,9.0350058320499e-05,0.00070226777576493,0.048725398022331,5.567028549603e-06,4.3491155248456e-05,-3.2873943994644e-06,0.91067963564244,6.6013573281681e-05,8.2098931845138e-05,8.3049030245138e-05,1.5140527348114e-05,0.0001096267414224,0.033310873975788,-7.0856732150026e-05,0.0057354669786468,3.4669753615763e-05,1.2776783937775e-05,0.099998716143774,98.8
