time,free_cm3_Albite,free_cm3_Anhydrite,free_cm3_Barite,free_cm3_Calcite,free_cm3_Celestite,free_cm3_Chalcedony,free_cm3_Dolomite,free_cm3_Fluorite,free_cm3_Goethite,free_cm3_Illite,free_cm3_K-feldspar,free_cm3_Kaolinite,free_cm3_Pyrrhotite,free_cm3_Quartz,free_cm3_Siderite,massfrac_Al,massfrac_BOH,massfrac_Ba,massfrac_Br,massfrac_Ca,massfrac_Cl,massfrac_F,massfrac_Fe,massfrac_H,massfrac_H2O,massfrac_HCO3,massfrac_K,massfrac_Li,massfrac_Mg,massfrac_NO3,massfrac_Na,massfrac_O2aq,massfrac_SO4,massfrac_SiO2aq,massfrac_Sr,porosity,solution_temperature
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,53.674868068332,0.0096562518705684,447.3167498392,0,0,184.55094004686,0,0,51.26897837803,743.31876211558,21.257894533684,9.083031649954,7314.8808875488,179.88017917256,3.268028901929e-08,0.0003758574621917,1.5637460875161e-07,9.0315286107068e-05,0.00082159428184586,0.04870664551708,5.5648860174073e-06,4.3291908204093e-05,-2.952985071156e-06,0.91032275033842,5.0897287594019e-05,6.8434768308898e-05,8.3017067912701e-05,1.8546347062146e-05,0.00010958455036169,0.033298053919671,-7.0806852373351e-05,0.0060359986852517,3.0246609868421e-05,1.2771866652177e-05,0.09994760798757,92
20000,0,53.831049951864,0.0096489372648304,447.31302303156,0,0,184.54556091379,0,0,51.400992744882,743.21505863779,21.1934979884,9.0830246013702,7314.8978067215,179.88008656448,3.2680289018513e-08,0.00037585746219682,1.5637460875609e-07,9.0315286107079e-05,0.00082159428187292,0.048706645517124,5.5648860174496e-06,4.3291908205651e-05,-2.9529850711518e-06,0.91032275033853,5.0897287593369e-05,6.8434768310108e-05,8.3017067912656e-05,1.8546347062717e-05,0.00010958455036536,0.033298053919658,-7.0806852375726e-05,0.0060359986850686,3.024660986813e-05,1.2771866651994e-05,0.099946331317812,98.8
30000,0,52.36661614629,0.0096603403828298,450.25243119206,0,0,181.96795956124,0,0,73.820188780613,732.71827048853,0,9.0830246503654,7318.3086955213,179.88873684456,1.5419577313696e-06,0.00037600217076697,1.7401926440955e-07,9.0350058320499e-05,0.000702267775765,0.048725398022332,5.5670285496031e-06,4.3491155248461e-05,-3.2873943994644e-06,0.91067963564244,6.6013573281678e-05,8.2098931845142e-05,8.3049030245138e-05,1.5140527348115e-05,0.00010962674142242,0.033310873975788,-7.085673215004e-05,0.0057354669786462,3.4669753615763e-05,1.2776783937775e-05,0.10001584667552,105.6
40000,0,52.437741477302,0.009656324368564,450.23954432295,0,0,182.00628995364,0,0,73.533179521947,732.94789007102,0,9.0830454585438,7318.3254718083,179.88919944497,0.0036731217818105,0.00037108047081764,1.4468838300003e-07,8.9167416542397e-05,0.00041293396059613,0.048087604395705,5.4941586403976e-06,2.7736115335427e-05,-0.00034134695567242,0.90606957666135,7.6442511927824e-05,6.6965159845083e-05,8.1961955653055e-05,8.5321953435689e-06,0.00010819177649091,0.032874849561847,-6.992909091e-05,0.0084070284367743,3.7835257961769e-05,1.2609541561456e-05,0.10001528215125,112.4
50000,0,52.505066810054,0.0096528096144969,450.22645535979,0,0,182.02759904436,0,0,73.383599605454,733.07103122809,0,9.0830576180211,7318.3272414706,179.88963075912,0.0037373866268798,0.00037112957609107,1.5423559756217e-07,8.9179216113072e-05,0.00034310657610992,0.048093967853449,5.4948856852775e-06,2.687726869167e-05,-0.00034791678521397,0.90628781303013,2.9318158327917e-05,3.6371331867837e-05,8.1972801721327e-05,6.8043101606377e-06,0.00010820609356624,0.032879199907812,-6.9872449361714e-05,0.0082615323851438,4.6663767040189e-05,1.2611210188636e-05,0.10001476883381,119.2
60000,0,52.566108222085,0.0096498317255127,450.20806045492,0,0,182.04774468084,0,0,73.235467032852,733.16936406601,0,9.0830956443444,7318.3353756233,179.88957665615,0.0037702647818747,0.00037118233845998,1.6259596514161e-07,8.9191894452615e-05,0.00028488995977691,0.048100805227456,5.4956668765623e-06,2.6094844131777e-05,-0.0003513530126433,0.90646663846656,1.1596102296169e-05,1.9307181228091e-05,8.198445554672e-05,5.4516898979086e-06,0.00010822147689974,0.032883874244261,-6.9843879167125e-05,0.0081207049577507,6.2718005290638e-05,1.2613003086276e-05,0.10001455769683,126
70000,0,52.625195459341,0.0096473417194396,450.16912935663,0,0,182.08942226669,0,0,72.891741982497,733.34614150073,0,9.0834761491947,7318.3826149402,179.88410739556,0.0038078711436785,0.00037120915209187,1.6967184758576e-07,8.9198337535932e-05,0.00023656410119494,0.048104279954586,5.4960638749628e-06,2.6098041694693e-05,-0.00035569846946909,0.90658872164322,4.6778339735785e-06,1.0039072241385e-05,8.1990377975888e-05,4.4369319318971e-06,0.00010822929465054,0.032886249724038,-6.9728506481907e-05,0.0079889859321155,9.8595785070218e-05,1.2613914229965e-05,0.10001518754234,132.8
80000,0,52.65609967163,0.0096454344596653,450.08114489978,0,0,182.24103128867,0,0,71.582792736549,733.96932199403,0,9.0878089305269,7318.6339809694,179.81800057932,0.0039057423880527,0.0003711510695449,1.7555024122684e-07,8.9184380804124e-05,0.00019707979481898,0.048096753149123,5.4952039139853e-06,3.4745493771864e-05,-0.00036763760900736,0.90659430326285,1.9385348830668e-06,5.1369410123677e-06,8.1977549062811e-05,3.8020134741669e-06,0.00010821236017324,0.032881104061235,-6.8512871403324e-05,0.0078559616197005,0.00019077516719888,1.2611940549501e-05,0.10001920542273,139.6
90000,0,52.137826022418,0.0096475751613384,450.06503362556,0.0010076099035154,0,183.03710987774,0,0,64.653001476955,737.2311470025,0,9.1338854822824,7320.2390941944,179.12249073805,0.0042876216645314,0.00037072203371442,1.7986427130101e-07,8.9081287217063e-05,0.00016542087276351,0.048041155220839,5.4888516774413e-06,0.00013979974446221,-0.00041475867660208,0.90612374767758,8.588442935783e-07,2.6224548859621e-06,8.1882786285745e-05,3.7938048116814e-06,0.00010808727100051,0.032843094816415,-5.4732193609574e-05,0.0077478083341412,0.00044552797967292,1.2597361649248e-05,0.10004371666707,146.4
