Dpin,Tpin,id,q_prime,x,y,z
0,628.15,0,0,0,0,0
0,628.15375777037,0.016,0,0,0,0.016
0,628.15008926787,0.032,0,0,0,0.032
0,628.15410047593,0.048,0,0,0,0.048
0,628.15036592376,0.064,0,0,0,0.064
0,628.1543909677,0.08,0,0,0,0.08
0,628.15034666143,0.096,0,0,0,0.096
0,628.15469394958,0.112,0,0,0,0.112
0,628.15041527456,0.128,0,0,0,0.128
0,628.15501478602,0.144,0,0,0,0.144
0,628.15038762529,0.16,0,0,0,0.16
0,628.15521438941,0.176,0,0,0,0.176
0,628.15036159054,0.192,2.9471400555999e-13,0,0,0.192
0,629.79829851309,0.208,5309.0955424834,0,0,0.208
0,631.03487047079,0.224,5309.0955424834,0,0,0.224
0,632.27131494566,0.24,5309.0955424834,0,0,0.24
0,633.49846932006,0.256,5309.0955424834,0,0,0.256
0,634.72580650817,0.272,5309.0955424834,0,0,0.272
0,635.94344908649,0.288,5309.0955424834,0,0,0.288
0,637.16157698362,0.304,5309.0955424834,0,0,0.304
0,638.36961749891,0.32,5309.0955424834,0,0,0.32
0,639.57850211023,0.336,5309.0955424834,0,0,0.336
0,640.77747595317,0.352,5309.0955424834,0,0,0.352
0,641.97799247392,0.368,5309.0955424834,0,0,0.368
0,643.16725105311,0.384,5309.0955424834,0,0,0.384
0,644.35811732385,0.4,5309.0955424834,0,0,0.4
0,645.53752003234,0.416,5309.0955424834,0,0,0.416
0,646.71863548368,0.432,5309.0955424834,0,0,0.432
0,647.88810560716,0.448,5309.0955424834,0,0,0.448
0,649.05936342981,0.464,5309.0955424834,0,0,0.464
0,650.21920972846,0.48,5309.0955424834,0,0,0.48
0,651.38122050905,0.496,5309.0955424834,0,0,0.496
0,652.53138425893,0.512,5309.0955424834,0,0,0.512
0,653.68337940672,0.528,5309.0955424834,0,0,0.528
0,654.82311515875,0.544,5309.0955424834,0,0,0.544
0,655.96497806337,0.56,5309.0955424834,0,0,0.56
0,657.09439852686,0.576,5309.0955424834,0,0,0.576
0,658.22570979933,0.592,5309.0955424834,0,0,0.592
0,657.68512921994,0.608,0,0,0,0.608
0,657.53341519386,0.624,0,0,0,0.624
0,657.38314610927,0.64,0,0,0,0.64
0,657.2326242461,0.656,0,0,0,0.656
0,657.08361544951,0.672,0,0,0,0.672
0,656.93455901242,0.688,0,0,0,0.688
0,656.78688241837,0.704,0,0,0,0.704
0,656.63925149987,0.72,0,0,0,0.72
0,656.49314779193,0.736,0,0,0,0.736
0,656.34681638683,0.752,0,0,0,0.752
0,656.20237318406,0.768,0,0,0,0.768
0,656.05738419616,0.784,0,0,0,0.784
0,655.9144571898,0.8,0,0,0,0.8
