DP,P,S,SumWij,T,h,id,mdot,mu,rho,w_perim,x,y,z
0,42545.384695769,2.289235074766e-05,-0.00075153772872815,628.15,803575.92728354,0,0.063778089182982,0.00030134227647172,865.51026802107,0,0.00452,0.06699,0
0,41896.648365137,2.289235074766e-05,-0.00075153772872815,628.14865777648,803574.28222234,0.016,0.06452967425306,0.00030134309034986,865.51057374881,0,0.00452,0.06699,0.016
0,41242.702813118,2.289235074766e-05,-0.00068224831333045,628.14925201646,803575.04273067,0.032,0.065211957791225,0.0003013427300225,865.51043839457,0,0.00452,0.06699,0.032
0,40589.857449063,2.289235074766e-05,-0.00058937251786846,628.14748700525,803572.78386931,0.048,0.065801357988942,0.0003013438002698,865.51084042363,0,0.00452,0.06699,0.048
0,37512.396566645,2.289235074766e-05,-0.00056296525622204,628.14949276063,803575.35083506,0.064,0.066364318969752,0.00030134258404356,865.51038355857,0,0.00452,0.06699,0.064
0,36826.191170457,2.289235074766e-05,-0.00054833077702648,628.14563305805,803570.4111877,0.08,0.066912590393617,0.00030134492445551,865.51126271018,0,0.00452,0.06699,0.08
0,36117.519374473,2.289235074766e-05,-0.00071375587141396,628.14351763568,803567.70387014,0.096,0.067626433359014,0.00030134620720606,865.51174455468,0,0.00452,0.06699,0.096
0,35404.603921482,2.289235074766e-05,-0.00065423428986636,628.14481924852,803569.36967426,0.112,0.068280730593803,0.00030134541793197,865.51144807726,0,0.00452,0.06699,0.112
0,34690.082123014,2.289235074766e-05,-0.00058982524530478,628.14368184349,803567.9140233,0.128,0.068870584397285,0.00030134610763317,865.51170715193,0,0.00452,0.06699,0.128
0,33975.485012632,2.289235074766e-05,-0.0005266780858457,628.14675902242,803571.85219689,0.144,0.069397243760389,0.00030134424169852,865.51100624139,0,0.00452,0.06699,0.144
0,33241.584027028,2.289235074766e-05,-0.00045921623041889,628.14407614259,803568.41864728,0.16,0.069856378684631,0.0003013458685371,865.51161733968,0,0.00452,0.06699,0.16
0,32533.848343854,2.289235074766e-05,-0.00039030018674897,628.15383073564,803580.89836166,0.176,0.070246673347084,0.00030133995367628,865.50939546709,0,0.00452,0.06699,0.176
0,31834.1442568,2.289235074766e-05,-0.00031196592407887,628.1448343784,803569.38903748,0.192,0.070558628989396,0.00030134540875752,865.51144463102,0,0.00452,0.06699,0.192
0,31151.229933449,2.289235074766e-05,-0.00019811274828501,628.15516811546,803582.60846923,0.208,0.070756756905239,0.00030133914275667,865.50909084247,0,0.00452,0.06699,0.208
0,27664.743566013,2.289235074766e-05,-0.00031465312136054,628.61640556279,804172.39279315,0.224,0.071071465143325,0.00030105980266533,865.40402911642,0,0.00452,0.06699,0.224
0,26898.679560369,2.289235074766e-05,-0.00048942812393362,629.1214047964,804818.13531316,0.24,0.071560932015904,0.00030075471424271,865.28899384022,0,0.00452,0.06699,0.24
0,26146.913354671,2.289235074766e-05,-0.0004627557650218,629.64329144601,805485.47177201,0.256,0.072023857606003,0.00030044024988978,865.17010580958,0,0.00452,0.06699,0.256
0,25392.675260486,2.289235074766e-05,-0.00042926956303029,630.17485401913,806165.18083426,0.272,0.072453334361046,0.00030012081540313,865.04900737634,0,0.00452,0.06699,0.272
0,24636.22285268,2.289235074766e-05,-0.00039859033751276,630.7301576838,806875.24763028,0.288,0.072852163031891,0.00029978803740621,864.92249367704,0,0.00452,0.06699,0.288
0,23877.805962202,2.289235074766e-05,-0.00037071724032262,631.29189612075,807593.5425696,0.304,0.073223139482309,0.0002994523592777,864.79450702551,0,0.00452,0.06699,0.304
0,23105.968972429,2.289235074766e-05,-0.00034416440575093,631.87006437042,808332.84631045,0.32,0.073567570721426,0.00029910786311982,864.66276972065,0,0.00452,0.06699,0.32
0,22343.808285527,2.289235074766e-05,-0.00032316634294229,632.46435048098,809092.75996003,0.336,0.073891108928363,0.00029875481590909,864.52735221808,0,0.00452,0.06699,0.336
0,21580.160013656,2.289235074766e-05,-0.00030175130405161,633.05365903515,809846.30880825,0.352,0.074193281490831,0.00029840577485128,864.39306122596,0,0.00452,0.06699,0.352
0,20815.094319949,2.289235074766e-05,-0.00028192641928205,633.661875668,810624.03541668,0.368,0.0744756761656,0.00029804662544421,864.25445343604,0,0.00452,0.06699,0.368
0,20048.793452776,2.289235074766e-05,-0.00026362269051649,634.26792425264,811398.98974186,0.384,0.07473980862867,0.0002976898533663,864.11633159848,0,0.00452,0.06699,0.384
