time,damage_left,damage_right,jump_n_left,jump_n_right,traction_n_left,traction_n_right
0,0,0,0,0,0,0
0.01,0,0,0.00076712548800504,0.00076712548800487,-767.12548800504,-767.12548800487
0.02,0,0,0.0015310021889477,0.0015310021889485,-1531.0021889477,-1531.0021889485
0.03,0,0,0.0022916563795934,0.0022916563795975,-2291.6563795934,-2291.6563795975
0.04,0,0,0.0030491140287848,0.0030491140287964,-3049.1140287848,-3049.1140287964
0.05,0,0,0.0038034008021118,0.0038034008021367,-3803.4008021118,-3803.4008021367
0.06,0,0,0.0045545420664966,0.0045545420665419,-4554.5420664966,-4554.5420665419
0.07,0,0,0.0053025628946932,0.0053025628947674,-5302.5628946932,-5302.5628947674
0.08,0,0,0.0060474880697052,0.0060474880698181,-6047.4880697052,-6047.4880698181
0.09,0,0,0.0067893420891225,0.0067893420892846,-6789.3420891225,-6789.3420892846
0.1,0,0,0.0075281491693789,0.007528149169602,-7528.1491693789,-7528.149169602
0.11,0,0,0.008263933249933,0.0082639332502293,-8263.933249933,-8263.9332502293
0.12,0,0,0.0089967179973724,0.0089967179977548,-8996.7179973724,-8996.7179977548
0.13,0,0,0.0097265268094403,0.0097265268099169,-9726.5268094403,-9726.5268099169
0.14,0.13039498199123,0,0.011854583541737,0.010425021323657,-10262.430196107,-10425.021323657
0.15,0.31865208313832,0,0.016050727033857,0.01107916073534,-10540.831616012,-11079.16073534
0.16,0.4758480424666,0,0.02256553175377,0.011684566918813,-10533.409071195,-11684.566918813
0.17,0.58907545281843,0,0.031743449586081,0.012234430274554,-10168.953275302,-12234.430274554
0.18,0.65398231089622,0,0.041669991768919,0.012766141911303,-9687.9152540336,-12766.141911303
0.19,0.89933994107321,0,0.077065048270073,0.014640118589721,-6740.7827355914,-14640.118589721
0.1925,0.98493383424053,0.91744041058631,0.15990156061346,0.098374054619257,-2433.7360571134,-7841.4663281753
0.1975,0.99541905767089,0.98624006843105,0.1881072487189,0.16779862234437,-865.28496936785,-2291.3089856878
0.2075,0.99958355069735,0.9987490971301,0.20679480914014,0.20436664207874,-86.153825056591,-255.43447178553
0.2125,0.99999369016208,0.99988628155728,0.21269188595704,0.21248276734041,-1.3420137895806,-24.160136781668
0.2225,0.99999942637837,0.99988628155728,0.22270270813696,0.22246822715723,-0.12774457549014,-25.295533684381
0.2325,0.99999994785258,0.99988628155728,0.23270329235235,0.23245313828736,-0.01213468991278,-26.430905480868
0.2425,0.99999999525933,0.99988628155728,0.24270290119763,0.24243799714415,-0.0011505620039649,-27.566274889856
0.2525,0.99999999956903,0.99988628155728,0.25270241694414,0.25242285098941,-0.00010890634701138,-28.701644073015
0.2625,0.99999999996082,0.99988628155728,0.26270192343378,0.26240770430445,-1.0292400533033e-05,-29.837013234738
0.2725,0.99999999999644,0.99988628155728,0.27270142860475,0.27239255750395,-9.7132546757508e-07,-30.972382393386
0.2825,0.99999999999968,0.99988628155728,0.28270093319451,0.28237741061454,-9.1545449076087e-08,-32.107751549453
0.2925,0.99999999999997,0.99988628155728,0.29270043725307,0.29236226363527,-8.6359082560541e-09,-33.243120702625
0.3,1,0.99988628155728,0.30020006494513,0.29985090333052,-1.0165358430237e-09,-34.094647564433
