time,cohesive_damage,jump_n,total_traction_y,traction_n
0,0,0,0,0
0.02,0,0.0059998999016676,5.9998996917832,-5.9998999016676
0.04,0,0.011999799803331,11.999799111143,-11.999799803331
0.06,0,0.017999699704989,17.999698260643,-17.999699704989
0.08,0,0.023999599606643,23.999597135157,-23.999599606643
0.1,0,0.029999499508292,29.999495688569,-29.999499508292
0.12,0,0.035999399409936,35.999393969559,-35.999399409936
0.14,0,0.041999299311575,41.999291978125,-41.999299311575
0.16,0,0.04799919921321,47.999189696334,-47.99919921321
0.18,0.098746869247848,0.053999188073109,48.666927633053,-48.666937308964
0.2,0.22220780425687,0.059999221439974,46.666917313358,-46.666926186675
0.22,0.32322091824952,0.065999254806837,44.666906988159,-44.666915064387
0.24,0.40739825317211,0.071999288173701,42.666896606215,-42.6669039421
0.26,0.47862504421064,0.077999321540564,40.666886162402,-40.666892819812
0.28,0.53967644465677,0.083999354907427,38.666875713085,-38.666881697524
0.3,0.59258755777886,0.089999388274289,36.666865201899,-36.666870575237
0.32,0.63888470513358,0.09599942164115,34.666854669837,-34.66685945295
0.34,0.67973506987761,0.10199945500801,32.66684409384,-32.666848330663
0.36,0.71604645846164,0.10799948837487,30.666833491843,-30.666837208376
0.38,0.74853555832423,0.11399952174173,28.666822845912,-28.666826086089
0.4,0.77777571808769,0.11999955510859,26.666812191914,-26.666814963803
0.42,0.80423107614893,0.12599958847545,24.666801458113,-24.666803841517
0.44,0.82828138139434,0.13199962184231,22.666790736742,-22.666792719231
0.46,0.85024033889346,0.13799965520917,20.666779935569,-20.666781596945
0.48,0.87036936913371,0.14399968857602,18.666769159635,-18.666770474659
0.5,0.88888806501441,0.14999972194288,16.666758321833,-16.666759352373
0.52,0.90598223567103,0.15599975530974,14.666747442658,-14.666748230088
0.54,0.92181016277071,0.16199978867659,12.666736552856,-12.666737107803
0.56,0.93650751616416,0.16799982204345,10.666725603746,-10.666725985517
0.58,0.95019125249963,0.1739998554103,8.6667146286361,-8.6667148632325
0.6,0.96296273410923,0.17999988877716,6.6667036428981,-6.6667037409478
0.62,0.97491024423628,0.18599992214401,4.6666926157875,-4.6666926186633
0.64,0.98611103065475,0.19199995551086,2.6666815447423,-2.6666814963789
0.66,0.99663297771948,0.19799998887772,0.66667042976242,-0.66667037409456
0.68,1,0.204,7.6053443615756e-08,0
0.7,1,0.21,1.0936013435451e-07,0
0.72,1,0.216,9.1425762418258e-08,0
0.74,1,0.222,9.1425762418258e-08,0
0.76,1,0.228,9.1425762418258e-08,0
0.78,1,0.234,9.1425762418258e-08,0
0.8,1,0.24,9.1425762418258e-08,0
0.82,1,0.2304,9.1425762418258e-08,0
0.84,1,0.2208,9.1425762418258e-08,0
0.86,1,0.2112,9.1425762418258e-08,0
0.88,1,0.2016,9.1425762418258e-08,0
0.9,1,0.192,9.1425762418258e-08,0
0.92,1,0.1824,9.1425762418258e-08,0
0.94,1,0.1728,9.1425762418258e-08,0
0.96,1,0.1632,9.1425762418258e-08,0
0.98,1,0.1536,9.1425762418258e-08,0
1,1,0.144,9.1425762418258e-08,0
1.02,1,0.1344,9.1425762418258e-08,0
1.04,1,0.1248,9.1425762418258e-08,0
1.06,1,0.1152,9.1425762418258e-08,0
1.08,1,0.1056,9.1425762418258e-08,0
1.1,1,0.095999999999998,9.1425762418258e-08,0
1.12,1,0.086399999999998,9.1425762418258e-08,0
1.14,1,0.076799999999998,9.1425762418258e-08,0
1.16,1,0.067199999999998,9.1425762418258e-08,0
1.18,1,0.057599999999998,9.1425762418258e-08,0
1.2,1,0.047999999999997,9.1425762418258e-08,0
1.22,1,0.038399999999998,9.1425762418258e-08,0
1.24,1,0.028799999999997,9.1425762418258e-08,0
1.26,1,0.019199999999997,9.1425762418258e-08,0
1.28,1,0.0095999999999971,9.1425762418258e-08,0
1.3,1,-2.9700587158894e-15,9.1425762418258e-08,0
1.32,1,-0.0095967978732461,-191.93595734637,0
1.34,1,-0.019193595756086,-383.87191501098,0
1.36,1,-0.028790393648521,-575.80787287611,0
