,n_ranks,n_samples,mem_total,mem_per_proc,mem_max_proc,run_time,run_time_min,run_time_max
0,1,128,78,78.0,78,65.2793069097,65.004270427,65.66387032899999
1,2,256,152,76.0,77,65.7058102933,65.590434668,65.873776328
2,4,512,302,75.5,77,66.2864265135,65.652276059,69.786866683
3,8,1024,593,74.125,76,67.1105180468,65.812478177,69.69286280899999
4,16,2048,1190,74.375,75,68.0695061784,66.60485064,70.085254787
5,32,4096,2396,74.875,77,68.5621046767,67.026810887,70.795497131
6,64,8192,4838,75.59375,78,73.5816710936,70.524898478,76.266912231
