,n_ranks,n_samples,mem_total,mem_per_proc,mem_max_proc,run_time,run_time_min,run_time_max
0,32,128,2913,91.03125,95,2.1650857437999997,1.980754451,2.201717752
1,32,256,3454,107.9375,111,4.3146939736,3.919745646,4.463431685
2,32,512,4547,142.09375,145,8.6597964785,7.849160773,8.862897507
3,32,1024,6658,208.0625,210,17.3526012007,15.689279291,18.193429257
4,32,2048,10930,341.5625,345,34.490915892,31.271052801,35.47521371
5,32,4096,19447,607.71875,610,68.8636505808,62.982819772,70.284008779
